tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
11161,2,1258300,140200,126700,95800,85500,65200,864000,0,0
11162,2,1331700,133300,138100,93000,83500,66300,942000,100,0
11163,2,1482400,143600,127400,98200,88600,67600,1082600,100,100
11164,2,1276700,180900,116000,96300,86600,61000,848000,100,100
11165,2,1424600,172900,123100,96100,85200,62600,989800,200,200
11166,2,1353100,154500,131400,98500,87600,62500,878900,100,200
11167,2,1218900,168200,125800,95700,85100,61100,786500,100,100
11168,2,1328100,152500,121900,93600,83400,58600,924400,200,100
11169,2,1709700,176400,119000,96600,85500,61800,1273300,100,200
11170,2,1418700,142500,126700,99600,89400,61400,980800,200,200
11171,2,1251800,136200,123000,92700,82800,52100,859600,100,0
11172,2,1227000,179200,128500,97200,87700,63100,774900,200,100
11173,2,1171300,168600,134800,99900,88400,70100,724700,200,100
11174,2,1342700,152300,141000,97600,87100,54000,897300,100,100
11175,2,1358900,140500,132100,92600,82000,53500,940600,200,200
11176,2,1325100,133200,122100,94100,84200,55000,917900,200,100
11177,2,1336100,146200,163400,100900,90400,64700,844600,200,100
11178,2,1310300,184500,136300,94900,82000,58300,811600,200,200
11179,2,1195900,151300,152500,96600,85900,61900,722600,200,200
11180,2,1116800,140200,148700,137500,126800,67800,637400,100,100
11181,2,1164900,137400,147100,95500,84900,65200,699200,200,200
11182,2,1239200,155200,141800,101100,91200,70800,748800,100,0
11183,2,1268200,173600,140200,95100,84600,61900,823800,200,200
11184,2,1167000,140200,129400,95400,85200,60200,767900,100,100
11185,2,1438900,167300,114900,94300,83600,54000,1026500,100,200
11186,2,1400200,181100,151600,98900,88200,64100,857800,200,200
11187,2,1418900,150600,133400,91000,80900,56900,965100,200,100
11188,2,1381800,124300,117800,96600,86300,64900,1009500,100,100
11189,2,1281800,160800,120100,100500,90200,67300,850700,200,100
11190,2,1246800,133600,123200,98800,88300,68000,834300,100,100
11191,2,1584400,148800,129500,95400,84700,57800,1160600,200,100
11192,2,1219000,146100,202400,95500,84800,63200,732200,200,200
11193,2,1156800,151800,143900,96400,86200,65400,723600,0,100
11194,2,1210100,130500,130100,93000,82700,56200,788100,0,0
11195,2,1329700,128800,127500,94600,84800,61800,867200,200,200
11196,2,1212500,142200,118800,99800,87500,66000,688700,200,100
11197,2,1037400,153300,132600,103300,95100,84300,605200,200,100
11198,2,1590000,146900,543600,174000,158600,73600,649100,200,100
11199,2,1257400,158200,127500,103200,95100,84600,823200,100,0
11200,2,1211700,141200,129900,102200,92300,70000,741900,100,100
11201,2,1105800,144300,122800,112600,100600,58700,699800,200,0
11202,2,1172100,179000,122000,97500,86200,67500,751700,200,200
11203,2,1192700,152100,123300,94400,83800,58000,786700,200,100
11204,2,3030200,177200,116400,114300,102200,70900,2576600,200,200
11205,2,1357100,177100,159800,97200,86400,63000,878300,200,100
11206,2,1337600,144600,132300,95400,85300,54600,889900,200,200
11207,2,1356200,156700,108500,95100,85800,62500,963400,100,100
11208,2,1392300,151500,113500,99200,90000,67500,988100,100,100
11209,2,1273200,151700,106600,92700,81900,56900,874900,200,100
11210,2,1270900,135700,119400,90600,80600,55800,890800,200,100
11211,2,1173800,141100,121400,96900,86800,63300,740500,100,200
11212,2,1314200,135400,119900,97000,86300,70200,912700,200,200
11213,2,1292200,160200,145000,99100,89800,66100,845000,200,100
11214,2,1209200,148700,146000,91600,81500,53400,788800,100,100
11215,2,1167500,209200,101700,98600,87100,67200,722500,200,200
11216,2,1366500,134900,106200,92400,82000,52000,988600,100,200
11217,2,1340500,151400,97400,99900,89800,69200,953100,200,200
11218,2,1291200,142700,110900,92200,81800,51200,790000,100,100
11219,2,1355100,129300,100700,96100,85500,57800,950600,100,200
11220,2,1417100,149600,107700,94400,84400,60800,1036900,200,100
11221,2,1093300,149900,111600,90500,80600,52900,717800,100,100
11222,2,1108200,131500,112500,189300,178800,60900,656600,200,200
11223,2,1169100,152200,122400,93500,84100,61800,776700,200,100
11224,2,1133900,130100,117100,110200,89800,69300,751200,0,200
