tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
224,0,630600,155100,66000,136800,131700,126300,225800,100,100
225,0,597600,154100,74800,136400,130300,127000,175900,200,200
226,0,677800,150700,54500,121400,110700,83800,269200,100,200
227,0,618900,164600,72500,120300,110000,71700,227600,200,100
228,0,602200,151400,69800,118000,111300,70800,229200,100,100
229,0,3085600,185200,66700,132300,122300,90500,2651800,100,200
230,0,768900,164600,78800,148200,137000,87000,233800,100,0
231,0,996300,446400,75500,127300,116100,85900,185700,200,100
232,0,1568200,162500,63700,124800,114700,78900,1168900,100,300
233,0,680800,145500,70700,119000,111400,76200,305300,0,200
234,0,1335000,745500,69000,127900,116600,82300,352100,100,200
235,0,4350200,170800,89500,129200,117800,80900,3862200,200,100
236,0,3029100,171900,76500,145200,137500,83000,2551100,200,200
237,0,2048300,514000,77300,150500,132600,103600,1213400,200,0
238,0,2488200,239000,86300,132300,121500,85100,1914100,200,300
239,0,2536600,161500,111500,159000,154600,144500,2049900,200,200
240,0,1605700,158800,73400,120500,113000,78800,1220200,200,200
241,0,1494700,213900,79300,134400,120500,97700,1035600,200,300
242,0,3503200,177600,81900,170100,165900,156900,3045300,200,100
243,0,4171400,169100,89100,114800,111000,101000,3768100,100,100
244,0,2912500,225700,83800,125100,116000,100900,2442600,200,100
245,0,1956800,208800,103300,124900,113900,83600,1482800,200,300
246,0,2083700,167800,78500,122600,112500,87400,1641400,100,200
247,0,1492000,146200,77100,118800,112500,86800,1117700,100,300
248,0,1656200,151600,79400,118500,110500,77500,1281900,100,200
249,0,1866500,165400,73400,120100,110200,86600,1475900,200,300
250,0,2852900,168800,62000,153300,139700,98400,2404700,200,200
251,0,4249200,163700,115200,154900,146500,85700,3778200,0,0
252,0,2923800,226100,98100,153300,140900,93800,2399600,200,200
253,0,1656400,316100,113900,129400,117900,89900,1047200,200,200
254,0,5592600,187200,68300,153100,141900,111700,5139300,100,100
255,0,2109200,172600,121900,165200,152500,127400,1584800,100,0
256,0,1665600,150700,79200,140300,133200,131600,1232500,200,200
257,0,2037600,265800,147900,144900,132300,81100,1407100,100,100
258,0,3069300,175800,90100,170100,163500,158300,2554500,200,300
259,0,3352500,165100,76000,148200,139800,88200,2897800,100,200
260,0,1526200,192100,89600,127200,115900,91800,1072800,200,100
261,0,918100,165500,89700,121300,110900,84200,461000,100,100
262,0,949700,145800,68100,120000,112200,81800,536900,100,300
263,0,905200,155200,91200,124100,112600,85600,505900,100,200
264,0,1371200,144700,77400,117500,110100,75700,1009600,100,200
265,0,608800,149800,82600,123700,117500,90800,226500,100,200
266,0,1051500,154200,73500,119500,113400,85400,609000,100,100
267,0,737600,150500,73900,117200,110000,81400,340000,100,0
268,0,975400,191600,71900,124600,114100,87000,565900,100,100
269,0,1394200,157400,98700,123000,116100,79000,979100,100,100
270,0,706100,164800,77900,118100,115200,104300,295600,200,200
271,0,885800,167000,77100,124500,114100,82400,474100,200,100
272,0,690700,153900,76600,114900,108100,73400,304800,200,200
273,0,619800,148700,79800,117000,110800,73900,237000,200,200
274,0,1426800,151200,77800,117000,109900,78700,1010700,100,100
275,0,612800,148500,71000,119800,113000,75100,230600,100,200
276,0,726800,142100,67200,117300,109800,72900,328900,100,100
277,0,852400,140700,81400,137800,132400,127900,446200,200,200
278,0,780800,156000,65400,137600,133600,126700,356100,100,200
279,0,1349100,155900,71800,125700,115800,95400,950500,100,100
280,0,3049500,170000,64900,149600,141300,92500,2636200,100,100
281,0,642100,177200,80400,123900,113800,81200,220400,200,100
282,0,716100,161400,73100,120600,110000,73700,327800,100,100
283,0,801300,148400,76900,114200,107400,71200,425700,200,200
284,0,1370000,156900,71400,233900,225900,72700,868600,100,200
285,0,722400,183000,91800,139100,127100,76300,261500,100,100
286,0,1049700,158800,74500,125100,116400,80300,600300,100,100
287,0,629500,148100,67500,137900,132200,127000,231300,200,200
288,0,756800,188100,78500,125800,115800,87500,312800,100,200
289,0,1312600,150200,70000,117800,110500,75100,934400,200,100
290,0,683500,156100,73200,119400,111700,77100,290200,200,200
291,0,668900,144200,74700,135700,129400,126500,238400,100,100
292,0,901600,153300,49200,136900,131500,127000,509800,100,200
293,0,715900,159100,75800,125600,115200,88100,295000,100,200
294,0,1486200,169600,66400,136500,124500,84300,1062300,200,0
295,0,837000,166500,254400,138200,132700,126600,234300,200,100
