tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
13919,0,973700,117300,155200,88900,80100,44800,566600,200,100
13920,0,884500,133600,140000,90700,80400,43600,491600,200,100
13921,0,839500,127100,122300,82900,75400,39300,485100,100,100
13922,0,925000,116000,123700,90500,80400,42500,564100,200,0
13923,0,1369300,119900,125600,92200,82500,45800,1000300,100,100
13924,0,894200,127900,121400,91000,80800,45300,515600,100,200
13925,0,886500,111400,114600,88000,78100,44400,531900,200,200
13926,0,902600,118200,122600,87900,78200,43900,507300,100,100
13927,0,799500,110300,121100,88600,78800,41400,443200,100,100
13928,0,903500,112200,130900,83200,75800,42800,541800,100,100
13929,0,760200,119900,113200,87700,79100,44600,413700,100,100
13930,0,871400,102700,113900,85800,78600,46000,512400,100,100
13931,0,882900,124000,114400,91700,81100,45500,514300,200,200
13932,0,2348100,143600,122900,107200,96100,51800,1946700,100,0
13933,0,1776000,137500,131400,93300,82800,45400,1380500,100,200
13934,0,1006800,114000,113500,91000,80900,45800,653000,200,200
13935,0,846400,126000,118600,90000,80100,44400,476100,100,100
13936,0,862700,114100,116800,92200,82600,45300,502700,0,100
13937,0,883000,114600,154600,92800,81400,46600,437800,200,200
13938,0,895300,110300,127500,89000,79300,43700,484900,100,100
13939,0,839600,125100,132500,90100,80000,43900,449500,200,100
13940,0,923300,115600,123100,84800,75100,39800,573400,100,100
13941,0,826000,103200,116500,87700,80400,44100,464100,200,0
13942,0,1031700,138000,125000,88600,78600,43300,565000,200,200
13943,0,1006400,111600,123300,88500,79200,44500,665100,100,100
13944,0,1459300,132300,112400,85500,75600,38800,1114500,100,100
13945,0,1037500,121500,115400,88700,78800,46700,695200,100,0
13946,0,928400,111600,116900,88200,78800,43500,597300,100,200
13947,0,900600,109700,112000,91800,82000,44900,570600,100,0
13948,0,831600,109500,113300,87200,77500,42200,500200,100,100
