tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
0,0,5271300,1732500,1028300,537400,192100,489600,1776800,20300,1500
1,0,2582100,666400,691800,192700,112700,152600,992000,7600,200
2,0,2355300,607800,424400,191900,112000,151400,1093900,6200,0
3,0,2213000,485200,502000,190000,112300,151400,995700,5900,200
4,0,2249900,530700,469800,191500,112800,150800,1005800,6100,200
5,0,2210600,483800,449500,191600,112300,151100,1040200,5900,200
6,0,2293900,568000,463500,188200,113800,150900,1022700,5900,0
7,0,2330700,475800,520800,190300,113400,151000,1058800,5900,100
8,0,2144900,479700,464400,196000,111700,149900,964200,5800,200
9,0,1983100,508100,444700,200400,116300,152800,795000,5600,0
10,0,3250000,772700,443800,194600,112800,151400,1755000,6300,100
11,0,2845900,498300,498500,189900,112700,151400,1620700,6000,200
12,0,2746600,511300,640200,187600,113300,150500,1371300,6000,0
13,0,2302900,473600,448800,188500,112500,150900,1160700,5900,200
14,0,2734300,484200,487800,189200,113500,150600,1532900,6000,100
15,0,2189500,486700,484700,188800,112600,151000,984300,5900,100
16,0,2828300,551800,533200,197900,122900,153100,1490800,6800,200
17,0,2210000,550600,509100,193000,114700,151100,895700,6300,100
18,0,2497100,492700,533100,190300,111900,153200,1087000,5900,0
19,0,2263100,499700,449500,189800,112200,151300,976000,5900,100
20,0,2897600,475900,508700,189400,111900,150600,1672300,5800,100
21,0,1961300,476900,395600,187900,111500,153600,827100,5800,200
22,0,2935700,485300,467200,193400,114800,151700,1708900,5900,0
23,0,1938200,487700,438800,187900,111600,150600,795400,5900,100
24,0,2051800,472100,469300,190800,111600,150400,890900,6100,200
25,0,1945200,473100,438100,205700,126300,162000,801600,5800,200
26,0,2202700,541200,492000,202500,122100,157700,939500,5900,0
27,0,1928100,473100,410700,190800,111100,150700,826500,5900,0
28,0,2278700,526700,486400,194800,111500,151300,1041400,6200,100
29,0,2072500,510000,453400,191900,111400,151000,875800,6000,0
30,0,2526900,595600,595100,198400,120300,150800,1087300,6500,100
31,0,2351200,513600,503300,191400,112800,151100,1093100,6400,0
32,0,2355300,492900,567500,202200,112600,149700,1042700,6200,100
33,0,2258700,525700,495500,197600,112400,150300,1000900,5900,100
