tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
14525,4,2018300,440700,486000,151300,94100,81900,912500,200,300
14526,4,2025300,426700,532000,160300,94000,82600,847800,200,200
14527,4,2019500,450000,483800,153700,92000,82700,905600,100,0
14528,4,2055400,475500,457400,159000,91400,82500,882600,100,100
14529,4,3029700,743100,486900,157300,96700,82700,1611200,300,100
14530,4,2150000,441000,493800,152900,92800,82800,1006100,200,100
14531,4,1948000,442300,496200,155600,92800,82200,824000,100,100
14532,4,1960500,484900,490300,165300,95300,82500,782200,100,200
14533,4,2089700,439300,497100,152400,93600,82600,962500,200,100
14534,4,2147900,440700,502300,149700,92500,83000,1024200,100,0
14535,4,2066200,449200,493500,153400,92300,82600,932300,100,200
14536,4,2074600,458400,490000,156700,94500,82500,928800,100,0
14537,4,1912100,456500,507600,151200,92300,81800,747000,200,0
14538,4,1844000,435900,504900,150900,92100,82100,687300,200,200
14539,4,1943700,430200,509800,149600,92300,81800,803800,200,300
14540,4,1944400,429600,488400,149100,92000,82100,841900,200,0
14541,4,2031700,419600,520400,153700,92500,82000,879300,200,100
14542,4,1924100,442100,512400,149800,91700,82300,766400,100,0
14543,4,1894200,430200,493000,151400,91900,82400,799900,100,0
14544,4,1829500,427600,486800,152600,92000,82000,741600,100,0
14545,4,1808900,447500,491300,158800,93900,83100,686600,100,200
14546,4,2048300,438900,500700,152500,92600,82700,879500,200,0
14547,4,2094400,444500,473600,153600,92000,82700,978800,100,100
14548,4,1940700,470200,481900,158700,92600,83000,810700,100,200
14549,4,1951900,449800,482500,152400,92500,82600,838600,100,100
14550,4,1946700,441600,469300,156400,91900,82300,848000,100,0
14551,4,1890500,501200,473500,149700,91800,82200,733900,100,200
14552,4,1914000,432500,461700,149100,92200,81400,840200,100,100
14553,4,2118100,435700,498000,157100,91700,81400,998700,100,0
14554,4,3052700,744000,495800,152800,94200,82100,1584400,200,200
14555,4,2166000,417900,511900,149500,92500,82500,1040100,200,200
14556,4,2224500,411700,525600,159500,92600,82400,1062700,100,200
14557,4,2020800,491700,499700,149100,93100,81900,838500,100,100
14558,4,2010100,409700,508700,150600,92200,81900,883300,100,100
14559,4,2193400,429300,549800,148000,92100,82000,1030600,0,300
14560,4,1895700,416800,511500,164500,92700,83500,778900,100,100
14561,4,2080200,489100,527500,156100,94500,82300,876400,100,200
14562,4,1933200,458200,533900,153300,94000,83000,762200,100,0
14563,4,1960000,428600,527900,152300,92300,82000,819500,100,200
14564,4,3573900,457500,512400,151200,92900,81500,2416800,200,0
14565,4,1886800,430200,526000,150700,91500,81900,738100,200,200
14566,4,1862900,425600,514900,154900,91500,82400,702100,100,0
14567,4,1886500,462700,527200,151800,91800,82100,710900,100,100
14568,4,1964200,462500,504600,167100,103900,90100,794500,100,0
14569,4,1987000,456100,528300,157500,95400,81900,789500,200,100
14570,4,1782900,477200,528100,153700,92300,82200,581200,200,200
14571,4,1987800,488400,517500,157700,95100,82300,749500,100,100
14572,4,2183600,452700,535700,155900,93000,81900,982100,100,100
14573,4,2283400,494200,554100,162800,94700,82400,1031600,200,200
14574,4,2124200,484700,565500,162400,94500,82200,870700,200,100
14575,4,2245100,492400,575800,157900,92500,82700,973900,100,100
14576,4,2240800,517500,559200,160800,92500,82200,963000,100,0
14577,4,2771800,477800,600400,168100,98700,84600,1478000,200,200
14578,4,2712600,491700,625300,157800,92400,82600,1276200,200,100
14579,4,2709900,509700,615300,160000,92600,83000,1339400,200,0
14580,4,2930300,523600,639700,167600,95600,82400,1565100,100,100
14581,4,2601400,506300,679200,164800,93200,82500,1214600,100,100
14582,4,2269100,479300,634400,158100,92200,81800,973800,100,200
14583,4,2563100,496100,655600,155800,95100,81900,1227300,200,100
14584,4,2394700,440700,639000,155600,93100,82300,1127400,200,100
14585,4,2571800,464400,678200,163500,92600,84400,1230200,200,100
14586,4,2163800,482400,620200,160100,98500,86600,829300,100,100
14587,4,2239100,453900,648500,156600,92600,81700,934400,100,0
