tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains
10083,5,1360300,102300,105800,52100,42300,35400,1087800,200
10084,5,1517600,84500,118000,53600,42700,30300,1241700,200
10085,5,1542500,69400,108500,50800,44100,40900,1295600,200
10086,5,1177100,100400,102400,49300,43100,35000,904800,100
10087,5,992100,168500,104900,50100,44100,34800,657700,100
10088,5,921500,76800,89600,46000,43400,34800,692000,100
10089,5,1234700,79500,94700,55000,43700,40500,982600,200
10090,5,1104200,81500,100100,47000,39300,30000,829900,100
10091,5,732400,83700,83100,51000,43900,40800,492600,200
10092,5,908300,102400,122500,66700,43300,35900,598300,200
10093,5,755400,76900,95300,48800,42000,33800,517100,200
10094,5,1057400,88200,97200,67100,42400,35000,786600,200
10095,5,870800,71000,95000,40500,38200,30400,645900,200
10096,5,984700,93300,102200,49100,43700,41100,718400,200
10097,5,880000,182900,110300,48800,42000,35300,509600,200
10098,5,1287500,150900,109600,51200,39900,28400,921900,200
10099,5,1728800,188500,102200,51800,43400,42000,1355900,200
10100,5,2312000,77200,103300,57000,49500,36300,2057300,100
10101,5,1659000,90200,95000,47700,42500,35800,1408700,100
10102,5,1464800,89900,104000,52000,43100,37000,1180800,100
10103,5,1901300,141900,76500,70700,42600,36100,1600400,200
10104,5,2063600,88300,90900,53800,42700,35800,1817100,200
10105,5,1472600,69700,75500,47900,41100,36000,1265900,200
10106,5,1471500,116900,117100,52400,43800,41800,1172900,100
10107,5,2069300,83600,114200,48200,42100,31600,1813000,200
10108,5,2366600,111500,133400,48700,43300,37300,2056900,100
10109,5,1776800,91500,113100,50800,42600,37100,1496300,100
10110,5,1632700,100700,118500,54200,43300,34800,1334900,100
10111,5,1750100,106200,92900,69400,53100,36900,1459700,200
10112,5,2023400,97300,136300,49400,42000,36800,1716800,200
10113,5,1509300,80100,106100,51800,44300,41600,1248600,100
10114,5,1446500,70100,116800,45500,42000,36200,1169000,200
10115,5,1657600,76900,108900,58500,46600,36500,1398300,200
10116,5,2202000,86100,130200,56200,48000,32800,1905400,200
10117,5,1755400,67800,109900,51100,43900,42800,1502300,200
10118,5,1590800,86600,145500,45700,39500,33400,1253800,100
10119,5,1588700,93100,101800,60300,52600,35900,1304500,200
10120,5,1848300,129900,137300,51900,43300,41800,1514600,200
10121,5,1511500,130800,110900,46600,40100,31500,1203800,100
10122,5,2003000,103800,97800,54800,42900,41900,1729300,100
10123,5,1687200,77800,119600,51100,43500,41100,1422300,200
10124,5,2261500,88500,133700,67000,52800,46200,1953400,200
10125,5,1583800,85300,115100,51000,44100,42800,1313200,200
10126,5,1535600,83100,110800,42800,40200,31900,1258300,200
10127,5,1217300,97100,96800,46200,39900,33900,960200,200
10128,5,1977900,75600,114300,42700,39800,31300,1732000,100
10129,5,1678100,87500,104900,59000,42900,33500,1410300,100
10130,5,1571900,108800,117600,56300,42700,35000,1269200,100
10131,5,1675600,75500,118600,48700,41000,34400,1409600,200
10132,5,1500300,95200,108500,61600,43000,34200,1215100,200
10133,5,1109100,86400,99500,54200,43400,35800,845200,200
10134,5,1409500,72000,115000,53000,41900,33800,1146800,100
10135,5,1178500,96500,93300,60900,43000,34900,910300,200
10136,5,1759600,121700,88300,58800,42400,35900,1441400,100
10137,5,1434200,72200,114600,48500,42800,41700,1171700,200
10138,5,1382200,76800,114600,53300,43300,35200,1061900,100
10139,5,1272300,81400,93500,49000,42600,34800,1001900,200
10140,5,1075300,82200,97100,49500,42600,35300,833500,200
10141,5,1376100,131600,95900,52900,42400,34300,1082500,200
10142,5,1491300,101700,107200,51200,41500,29500,1217900,200
10143,5,1254300,100200,96400,52800,43000,36800,991400,100
10144,5,1223100,103800,104900,49600,43400,37000,951600,100
10145,5,2009500,123400,101300,51100,43100,35200,1713000,200
10146,5,981000,77600,117100,51400,41800,34700,714000,200
10147,5,930100,90900,102600,49300,43000,34800,672700,200
10148,5,984500,105500,97900,67900,43300,35700,697300,100
10149,5,1090200,115700,92500,74500,43400,34000,785800,200
10150,5,1701400,88600,107200,50500,43500,34700,1408600,100
10151,5,1269400,103200,94600,50100,39800,30800,1000500,200
10152,5,1174300,75100,153700,50300,42200,32600,881200,200
10153,5,1567400,89500,116500,56700,43300,34300,1286700,100
10154,5,1344200,70400,144400,76400,43400,34800,1034600,100
10155,5,1224800,93400,106500,54100,42700,31000,953300,200
10156,5,1084500,89300,110500,50700,39900,28500,808000,200
10157,5,1042300,72100,96100,48000,43600,35100,797400,200
10158,5,1195100,96100,115800,61600,41500,31700,867600,200
10159,5,854800,82200,94200,60500,42700,33900,587300,200
10160,5,1024400,73500,98200,44700,41900,34200,791400,100
10161,5,852500,86900,101500,65400,42300,33900,580800,200
10162,5,869300,98300,114900,53100,42100,35100,565000,200
10163,5,1089400,166000,84900,54100,43600,35400,774000,100
10164,5,1583600,195400,105400,59600,42400,44200,1184600,100
10165,5,1652200,90100,98600,52800,41900,30600,1397200,200
10166,5,1549500,79500,106100,59500,43300,35000,1291100,200
10167,5,1624300,122800,109500,90100,45100,36800,1288400,200
10168,5,1617400,76900,107200,48900,42300,34900,1369100,100
10169,5,1737900,95500,162200,53100,44200,42100,1402200,200
10170,5,1830700,85800,127800,72600,53100,34600,1519100,100
10171,5,1343000,72200,92600,58100,42800,34100,1098200,200
10172,5,1724700,104100,107100,57900,42500,45500,1433700,200
