fileName,run,wholeUpdate_average,controlBehaviorUpdate_average,transportLinesUpdate_average,electricHeatFluidCircuitUpdate_average,electricNetworkUpdate_average,fluidFlowUpdate_average,entityUpdate_average,trains_average
29_the_end,0,1207435.2824858758,72386.86440677966,60409.745762711864,56622.90960451977,49158.64406779661,43141.016949152545,996504.2655367232,164.4915254237288
29_the_end,1,1222582.4011299436,73965.02824858757,61404.97175141243,56396.6384180791,48983.700564971754,43241.581920903955,1009183.220338983,160.62146892655366
29_the_end,2,1205052.4011299436,71391.01694915254,59621.1581920904,56898.78531073446,49302.96610169492,43286.21468926554,995371.6666666666,163.0225988700565
29_the_end,3,1209446.2994350283,72578.30508474576,60732.96610169492,57052.937853107345,49567.5988700565,43118.67231638418,997685.3107344633,159.54802259887006
29_the_end,4,1222967.4293785312,73217.79661016949,61660.141242937854,56684.661016949154,49103.700564971754,43407.457627118645,1009892.7966101695,161.1581920903955
29_the_end,5,1214731.3276836157,73753.81355932204,61934.0395480226,56738.64406779661,49240.4802259887,42634.91525423729,1000683.6723163842,162.40112994350284
28_erichteia,0,1416581.242937853,106406.83615819209,58305.64971751413,107615.31073446327,53214.23728813559,96255.05649717514,1120066.779661017,155.31073446327684
28_erichteia,1,1411115.7062146892,105999.01129943503,57576.83615819209,107399.20903954802,53232.20338983051,95672.34463276836,1116067.0903954802,165.36723163841808
28_erichteia,2,1410922.3446327683,106925.48022598871,58028.58757062147,107622.48587570622,53342.062146892655,96031.89265536724,1114699.011299435,157.65536723163842
28_erichteia,3,1414677.6553672317,105779.46327683616,57630.87570621469,107912.45762711864,53267.09039548023,96389.01129943503,1119684.3785310735,170.25423728813558
28_erichteia,4,1427598.4180790961,105638.58757062147,57448.16384180791,108039.29378531073,53765.141242937854,96493.38983050847,1131622.0056497175,161.29943502824858
28_erichteia,5,1422791.7514124294,107667.74011299435,57830.39548022599,105472.90960451978,53494.774011299436,93988.89830508475,1127657.5423728814,161.66666666666666
27_theflyingcurryfish154,0,1261475.6779661018,124681.35593220338,56873.5593220339,77326.27118644067,49114.09604519774,66362.71186440678,980837.1186440678,178.05084745762713
27_theflyingcurryfish154,1,1236317.7401129943,123112.00564971751,57474.858757062146,73030.59322033898,47457.259887005646,61995.98870056497,961285,168.33333333333334
27_theflyingcurryfish154,2,1236049.4915254237,124288.75706214689,58086.41242937853,72759.46327683616,47830.45197740113,61598.16384180791,959407.3728813559,148.92655367231637
27_theflyingcurryfish154,3,1274448.1073446327,124946.55367231638,57447.82485875706,78297.79661016949,48964.83050847457,66950.31073446327,992100.8757062147,165.25423728813558
27_theflyingcurryfish154,4,1248191.6666666667,124019.01129943503,57173.78531073446,73912.37288135593,47914.745762711864,62419.23728813559,971449.1525423729,160.05649717514123
27_theflyingcurryfish154,5,1239427.0621468928,122672.17514124294,57056.21468926554,72652.48587570622,47344.745762711864,61388.30508474576,965474.6892655367,168.0225988700565
26_galacta487,0,1761103.757062147,65398.0790960452,138299.09604519774,51973.58757062147,42294.943502824855,41631.61016949153,1481688.4180790961,158.0225988700565
26_galacta487,1,1780731.242937853,66704.91525423729,142090.6779661017,56368.92655367232,43681.35593220339,44994.463276836155,1491456.2711864407,159.0677966101695
26_galacta487,2,1779710.5084745763,68533.92655367231,143518.61581920905,55768.0790960452,43487.853107344636,44621.21468926554,1488023.3615819209,156.864406779661
26_galacta487,3,1779382.0338983051,68230.50847457627,143490.79096045197,56269.71751412429,44072.146892655364,44898.53107344633,1487841.5536723165,148.24858757062148
26_galacta487,4,1784971.920903955,66824.68926553673,142335.73446327684,56263.27683615819,43919.20903954802,44832.20338983051,1495507.2598870057,144.32203389830508
26_galacta487,5,1784547.5423728814,68851.24293785311,142670.05649717513,56245.36723163842,43629.12429378531,45217.1186440678,1492800.2824858758,156.61016949152543
25_mcmayhem57,0,1614241.0451977402,107735.59322033898,90960.48022598871,64040.225988700564,54439.68926553673,42515.11299435028,1309677.8531073446,18289.745762711864
25_mcmayhem57,1,1634348.2768361582,109819.18079096045,92823.2768361582,66467.59887005649,56737.51412429378,46884.12429378531,1322627.7966101696,18810.05649717514
25_mcmayhem57,2,1639592.3446327683,111006.83615819209,93704.57627118644,67113.41807909604,57405.76271186441,45916.94915254237,1324732.0621468928,18889.406779661018
25_mcmayhem57,3,1645512.5706214688,111143.98305084746,93085.33898305085,66500.14124293785,56761.779661016946,46421.497175141245,1332434.152542373,18427.005649717514
25_mcmayhem57,4,1740365.451977401,112702.85310734464,94850.62146892655,67694.20903954802,57659.54802259887,45749.71751412429,1420304.2937853108,19666.49717514124
25_mcmayhem57,5,1642528.2485875706,109420.56497175142,91868.75706214689,67226.94915254238,57502.48587570622,45568.3615819209,1330318.5028248588,18922.175141242937
24_syvkal,0,1503408.163841808,94869.83050847458,104383.64406779662,59797.71186440678,50415.621468926554,33361.101694915254,1202365.7062146892,18778.27683615819
24_syvkal,1,1535588.02259887,93655.87570621469,103903.13559322034,59281.86440677966,50149.43502824859,34327.57062146893,1236181.0169491526,19097.71186440678
