tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains
6478,2,1720700,169000,59300,83000,50100,68600,1341000,100
6479,2,2540600,146400,76300,101800,62600,87700,2188600,200
6480,2,1220900,122800,92700,84100,51100,72500,908900,200
6481,2,958200,182200,64000,86900,51100,72000,610500,200
6482,2,1105400,111500,63600,71700,47300,60300,846500,200
6483,2,990100,124600,55600,94000,50800,80000,703800,200
6484,2,1101300,145000,83200,77600,48200,65700,768400,200
6485,2,1147800,142200,54000,88200,52100,77300,845600,200
6486,2,1220900,104900,59500,76200,51300,67900,962400,200
6487,2,1149300,170800,47400,80100,50900,67400,836400,100
6488,2,1546100,119500,52400,86100,50400,73700,1271500,100
6489,2,1285100,111500,45400,76600,46400,66800,1031200,200
6490,2,1746600,110500,46000,78100,51000,65600,1465100,200
6491,2,1309300,105300,54200,80200,49100,70400,1048100,100
6492,2,1407000,104400,46300,72600,49500,65000,1166000,200
6493,2,1487600,143600,66300,81300,47200,68700,1179400,200
6494,2,2397200,125800,68600,76900,48500,65000,2109100,100
6495,2,2906800,145300,72000,79100,50100,67900,2594800,200
6496,2,2396200,178100,64700,85900,61900,70700,2045400,100
6497,2,2665100,158600,68600,87100,61500,74200,2323300,100
6498,2,2016200,139100,65700,72400,48500,59800,1676200,100
6499,2,1557600,124700,47000,75900,48200,62400,1281200,100
6500,2,1275200,139300,60400,83000,50500,71200,976300,100
6501,2,1608400,118700,89600,84600,50700,71300,1298900,200
6502,2,1192100,125600,58800,77000,48300,65200,892800,200
6503,2,1570800,146300,64900,82400,50100,70500,1263700,100
6504,2,1151300,134200,46800,78900,50200,67300,879600,100
6505,2,1473500,147300,49300,81700,51100,69400,1179700,200
6506,2,1213600,157100,47000,84400,51400,71600,908500,200
6507,2,1465600,127000,54900,83000,47200,70800,1187500,200
6508,2,1695600,104500,60000,84800,50600,74700,1429900,100
6509,2,1228600,113000,50500,74500,47700,65000,969500,200
6510,2,1066800,105800,39300,80300,48200,71300,816600,100
6511,2,1429100,107100,37700,77100,50800,65400,1185000,200
6512,2,1256100,115000,69100,77500,47600,66300,972800,100
6513,2,1098500,123900,53100,80000,48300,66700,821800,200
6514,2,1238800,106000,54100,86300,50800,74600,949200,200
6515,2,982700,112800,49000,71700,46500,64700,732600,200
6516,2,1055800,145200,48600,78000,50200,65800,764200,200
6517,2,1302900,109600,40900,74700,48400,67500,1061600,100
6518,2,883700,115600,39600,80500,49100,68000,602000,200
6519,2,949900,124100,49400,79600,50200,68300,672100,100
6520,2,820000,119000,36300,89900,50600,77500,558900,200
6521,2,971000,103700,40100,78600,47000,66600,730800,100
6522,2,1280000,102900,54100,78800,47100,66900,1028200,200
6523,2,920700,144600,41200,80500,48500,68800,638900,200
6524,2,867500,111900,49000,97000,50400,82300,596400,100
6525,2,920100,104300,78800,75200,50400,65900,645000,200
6526,2,1248400,111300,39700,81400,50300,68500,973500,200
6527,2,1096900,146800,36100,77600,50900,65500,823100,100
6528,2,1218700,118800,58700,76500,50100,64700,952200,100
6529,2,895700,155700,50700,81800,49700,70100,593000,100
6530,2,1044500,106100,50600,77200,49900,67100,793200,200
6531,2,804500,103500,49000,87600,48900,78600,543600,100
6532,2,995500,118100,56500,79500,51200,66700,720200,200
6533,2,1044600,109100,72800,85500,51000,74700,751300,100
6534,2,1095800,123000,49000,77500,50100,65600,821300,100
6535,2,1200700,113900,52900,78900,50200,69400,936000,100
6536,2,1154600,113400,52600,73000,47800,65000,893100,200
6537,2,814000,147700,35800,83600,50500,70900,527700,100
6538,2,1072300,139300,40900,84300,51000,72300,736200,100
6539,2,1030700,122400,46000,83100,50600,70900,756000,100
6540,2,1381000,129600,40100,74200,49900,62600,1123900,100
6541,2,1044900,133600,50300,76200,50900,63400,771800,100
6542,2,1086700,110500,56400,86200,51900,74500,820000,200
6543,2,1098800,164300,56000,88300,49300,75900,776700,200
6544,2,2426200,134800,46300,96100,51600,82000,2128800,100
6545,2,1092600,117700,59300,78300,48000,66100,817800,200
6546,2,1070000,121700,46800,83700,50900,71300,799800,200
6547,2,994100,165500,60700,83400,49400,71800,671600,100
6548,2,948000,107600,57300,76100,50700,63500,691200,200
6549,2,1197900,114800,56200,107800,50400,93900,899700,200
6550,2,1285400,142300,114300,79400,48400,66900,904500,100
6551,2,1950600,116300,60500,77400,50700,64900,1675000,100
6552,2,917800,151000,74400,98100,62700,84700,574900,200
6553,2,1251200,107100,73200,84000,49200,72400,969400,200
6554,2,825300,106400,58300,73700,48200,62300,570000,200
6555,2,1046900,129800,52600,81200,48500,69300,766900,100
6556,2,969800,123000,51300,81500,51400,69200,691900,100
6557,2,1315100,158400,56600,75400,48200,62500,1000200,100
6558,2,969400,111000,43600,80100,50400,68400,683800,200
6559,2,1202800,128700,49400,82200,50800,70200,916100,100
6560,2,2092900,136800,60900,99500,51000,86000,1778900,100
6561,2,1181200,106100,63300,70500,48000,61200,924300,200
6562,2,1199300,140600,50500,76300,48800,64800,892000,100
6563,2,1339100,119700,210800,80700,51300,67700,915800,100
6564,2,1139700,121100,53100,74800,48100,61800,877900,200
6565,2,1860300,120000,47200,88200,52600,75900,1590000,200
6566,2,1281400,118600,47300,91900,51800,80000,1009400,200
6567,2,985700,184600,53700,78100,48300,66700,657500,200
6568,2,1410300,114700,41900,91900,50200,79200,1147500,100
6569,2,1237200,147000,58500,80800,50700,67900,925800,200
6570,2,1111300,131600,46100,78200,47200,66000,821600,100
6571,2,1087000,116300,39200,80500,51000,68500,828300,100
6572,2,1073100,123100,52900,75000,48200,63200,803200,200
6573,2,1274500,95100,38200,73400,47400,63900,1049300,200
6574,2,1446600,147400,77000,85300,48600,72600,1095700,200
6575,2,2101400,117800,56600,90600,52200,78100,1818900,100
6576,2,1686700,105700,62900,89400,52100,78100,1411700,100
6577,2,1604800,124300,49100,83300,48900,71500,1327500,100
6578,2,1014500,102100,42000,99600,51000,87100,724300,100
6579,2,1060400,147300,61300,76900,49300,64600,747900,100
6580,2,986200,120700,55800,76100,49000,63900,717000,200
6581,2,899300,99200,60700,66800,47800,57900,647500,100
6582,2,827400,118300,62300,76200,49100,64700,553100,200
6583,2,1118800,175000,62400,78600,50300,62500,787900,200
6584,2,1316900,134600,53500,81500,50800,69200,1033300,100
6585,2,1065100,106300,50300,82300,50200,70200,809500,200
6586,2,946600,89200,70600,74700,49100,68500,674300,200
6587,2,1265500,102200,52800,81500,51000,69900,1014200,200
6588,2,1165700,131700,63200,81300,50000,68900,877300,200
6589,2,2151000,114000,42600,78800,50800,68900,1898000,200
6590,2,2166700,155500,73700,87100,63000,76800,1829100,200
6591,2,769800,125700,59800,87300,51200,71400,471400,300
6592,2,1199300,138300,66200,77900,48400,64900,893900,100
6593,2,862900,127100,74600,80700,51500,68600,558600,200
6594,2,1414400,106200,51800,83400,51800,76500,1138700,100
6595,2,988500,104000,57500,134600,51000,83000,675500,100
6596,2,916500,111100,81600,75100,48200,64300,626400,200
6597,2,863600,117300,74000,80600,50600,68800,568500,200
6598,2,1013500,111300,59500,75400,47900,66000,695000,200
6599,2,722500,94700,57600,65100,48200,57600,473100,100
6600,2,1071600,164800,66100,84000,48800,70900,736000,100
6601,2,1031200,101200,65100,82800,51000,76000,768700,200
6602,2,713500,131500,53400,87900,49800,75900,426000,100
6603,2,840200,176700,60800,99700,50800,85400,493200,100
6604,2,1257000,157800,51700,83700,50800,72100,948400,100
6605,2,913200,120400,39700,76100,48000,65500,661600,0
6606,2,868000,143100,64200,82800,50900,70200,562300,100
6607,2,1350500,148100,59900,78200,50500,65600,1049300,200
6608,2,914900,112400,63000,86300,51400,76500,637300,200
6609,2,1022400,138400,64400,89000,50500,76900,713500,100
6610,2,863000,124500,59200,79600,50000,68000,552500,100
6611,2,951700,106700,54700,83900,51600,74000,684200,200
6612,2,935900,171900,77200,89300,52100,76100,579000,200
6613,2,1162100,162300,47100,83200,50900,70900,852500,100
6614,2,1049300,118000,45200,88400,51400,76800,781700,200
6615,2,914500,142100,57800,78900,49300,67100,619300,100
6616,2,1108400,124000,47600,73300,47700,62200,841000,100
6617,2,977500,137600,66400,69900,48000,58100,680900,100
6618,2,1031400,126700,51200,80300,49700,68000,719500,200
6619,2,2109200,106400,90800,78500,48400,69300,1806100,200
6620,2,2732400,142500,58300,111800,50300,95000,2403100,100
6621,2,1202900,148800,75100,97400,50600,82600,864400,200
6622,2,1434000,115900,61200,92700,48600,77800,1123600,100
6623,2,1068500,130100,91400,74900,48300,63100,758400,100
6624,2,1046600,187900,42700,75500,49200,63200,726000,100
6625,2,1098600,144500,51700,91800,51300,79000,794500,100
6626,2,1638200,127000,134600,89100,52000,76600,1273500,200
6627,2,2079600,107400,66800,73400,48300,66800,1818600,200
6628,2,935600,124000,44200,93000,49700,80600,661300,100
6629,2,1747900,145900,79100,76200,47300,65400,1422700,200
6630,2,1112400,122300,63300,77300,49900,62600,822700,200
6631,2,1345400,120200,45200,81700,51200,68700,1066200,100
6632,2,1009300,115100,43300,122100,49900,107100,703600,100
6633,2,1304500,113400,44300,79000,48700,66000,1046600,200
6634,2,1117100,147600,83400,76600,50000,64000,760300,200
6635,2,1460500,184700,40200,89900,50700,77000,1130900,100
6636,2,1986400,148600,78900,81500,48200,67600,1655700,200
6637,2,1382300,131400,50700,100000,49300,82700,1076100,200
6638,2,1572200,123700,40600,84700,51200,72400,1258700,100
6639,2,1048100,108500,43400,80700,49800,68100,785600,100
6640,2,1094200,105400,41800,87800,51900,76300,841800,100
6641,2,1278300,136800,42300,81700,50600,69600,995300,200
6642,2,1515100,131000,45800,82000,50400,69700,1236200,100
6643,2,888900,119700,52700,93500,50600,80500,607600,200
6644,2,1033900,144000,51000,81000,51800,68800,738800,200
6645,2,1575200,110100,44800,79600,50500,66300,1322200,200
6646,2,1292700,138200,52300,83900,50600,69700,974300,200
6647,2,1884900,112300,58100,72300,48100,59800,1628600,200
6648,2,953200,112000,44700,79300,49700,66000,694100,100
6649,2,1238000,113900,38800,81700,50300,68000,985900,100
6650,2,916300,124100,48500,98900,50600,84100,623600,200
6651,2,3267200,144100,63600,92100,50600,77500,2939600,100
6652,2,1259500,139500,43700,82000,51100,69500,968400,100
6653,2,1027900,134900,47200,75300,52000,63100,745900,200
6654,2,1755100,139200,50400,76000,51500,62300,1462200,200
6655,2,965000,142100,42100,80200,50200,67800,677900,100
6656,2,1210300,196900,44000,100500,49000,85800,842500,100
6657,2,1670200,139800,91600,91800,53400,78900,1317400,200
6658,2,1182400,112800,47100,86500,50100,69700,846700,200
6659,2,1002700,127100,54500,82900,50700,67900,700700,100
6660,2,1208400,131000,91900,86700,49100,69500,885100,200
6661,2,1457700,116900,52900,75100,48800,64800,1196700,200
6662,2,1792800,161800,66500,84300,51100,70100,1464800,200
6663,2,1250300,127800,61100,93600,51400,79200,952600,100
6664,2,1409800,136000,80700,89300,53200,77100,1084600,200
6665,2,775600,151000,72900,97400,52400,79500,434300,200
6666,2,899800,168000,72300,101100,50100,85500,533000,200
6667,2,1201400,130300,60800,99500,49900,84300,893700,100
6668,2,1871800,183100,57600,96000,47600,83100,1515100,200
6669,2,1551900,131800,42200,96700,49600,79900,1257500,200
6670,2,1300000,119700,56000,95400,51700,83400,975000,200
6671,2,1013500,160000,68900,82000,50500,68200,677100,200
6672,2,1011600,144200,70600,78100,51300,65800,699400,100
6673,2,1083400,152200,63900,76800,50000,64000,764400,200
6674,2,1129400,150900,70600,75500,47700,63100,813300,200
6675,2,1037900,106500,85000,95200,50700,80700,734200,200
6676,2,1103600,127300,66900,80300,51100,67700,804900,200
6677,2,1117000,106100,50400,78400,51500,68500,854700,200
6678,2,1369200,134600,86400,82400,49500,70300,1000100,200
6679,2,1091000,116100,58600,75300,47600,62600,809900,200
6680,2,1428100,127300,51100,77000,50400,65100,1155600,200
6681,2,1113100,116700,70100,86000,52400,74300,823700,100
6682,2,1008000,105200,58900,81600,48700,69300,720500,100
6683,2,1145100,113500,52300,86500,52300,74900,879100,100
6684,2,1149100,179400,53900,81000,49000,68400,821400,100
6685,2,1374800,114000,65800,80200,48900,68400,1102600,100
6686,2,1168800,145800,71200,83000,50200,70100,855500,200
6687,2,1197500,122700,55700,75300,48300,64200,914300,100
6688,2,1061000,137900,62400,83600,50500,70700,763400,100
6689,2,1223400,127400,58200,82300,50700,69800,933200,100
6690,2,1159600,116500,52900,91700,85700,78100,872900,100
6691,2,1146000,108200,55800,81800,50700,70500,875700,100
6692,2,952500,110800,57700,78800,50000,69000,682500,200
6693,2,1804700,119700,60600,84800,50300,73000,1519100,100
6694,2,1125600,106600,54900,79800,49300,73600,841500,100
6695,2,1156100,148800,60400,81100,50700,68400,849400,100
6696,2,1328600,147800,68900,76900,47300,63500,1015200,100
6697,2,2205900,132800,62300,109900,64900,96400,1878700,100
6698,2,1716200,159200,40900,97400,49700,81700,1358900,200
6699,2,1606700,148500,45800,76700,48500,64100,1301800,100
6700,2,1159800,126400,44400,83200,50300,71500,881200,100
6701,2,2555800,132300,45400,89700,48900,76400,2268700,200
6702,2,2792300,131900,67200,81000,59700,67800,2492600,200
6703,2,2525400,179900,70200,93700,51200,79100,2165200,100
6704,2,1334500,107700,59700,73800,48600,63700,1075000,200
6705,2,1244500,131800,54600,83500,49400,69000,956300,100
6706,2,1152800,125000,52900,80700,50800,68900,855900,200
6707,2,1569000,137000,45400,82000,50100,68200,1294400,100
6708,2,2293000,122500,56000,78800,51300,65900,2022700,100
6709,2,1438900,141500,82400,83700,49000,71700,1112900,200
6710,2,1642900,119800,45400,92600,52400,80000,1366900,100
6711,2,1272000,116600,50100,81500,46700,69500,1001800,200
6712,2,1263700,113200,34200,80700,51000,68400,1014500,200
6713,2,1201200,155900,40500,76900,50600,64600,905900,200
6714,2,1120200,110500,47500,80700,50900,67700,863400,100
6715,2,1235300,109900,63800,84200,49300,72600,959300,200
6716,2,1212400,108500,52500,84000,50700,71400,944500,100
6717,2,1301100,160500,39400,73800,47600,61200,1004300,200
6718,2,1390900,116100,62700,80400,49100,69100,1059000,200
6719,2,1083500,142800,69300,80500,50900,68400,763500,200
6720,2,1059500,114800,50700,79500,48500,66800,801300,100
6721,2,1298800,116100,60400,76300,49000,64100,1031800,200
6722,2,1138500,131600,56200,84700,50800,72800,852200,200
6723,2,1996600,103200,65000,75300,48100,65300,1739300,200
6724,2,1079200,129500,95100,107400,62300,93200,733800,100
6725,2,919700,121100,58500,70600,48600,58100,651600,100
6726,2,1183400,157000,48100,76400,49900,64200,887000,200
6727,2,2164000,141600,58000,76100,49400,63300,1873800,200
6728,2,2501300,198100,69400,93400,50600,80100,2123900,200
6729,2,1091300,141600,70500,76800,48000,65200,775400,200
6730,2,1008200,110300,48500,83300,49800,71500,716900,100
6731,2,846800,165700,65500,78000,50400,65700,516900,200
6732,2,1076400,113200,62900,80500,49700,68700,803700,100
6733,2,987000,116500,54200,74900,48400,62800,724000,200
6734,2,1135000,188200,61800,89500,51600,78700,780000,200
6735,2,1601500,120100,55400,89900,51800,78200,1319800,200
6736,2,1266900,106100,56800,82300,50700,69800,999200,200
6737,2,1147800,128800,75100,93800,50700,80700,827200,200
6738,2,1147900,112400,94100,81300,49900,68100,808600,100
6739,2,1240000,123600,56200,80300,50400,67200,951300,100
6740,2,980900,129600,58700,80100,50400,67900,695900,100
6741,2,1439800,110300,74300,87100,50700,74800,1151700,100
6742,2,1173900,115100,48200,81800,51400,69000,889300,200
6743,2,1080800,148800,61800,83800,50300,71000,772000,200
6744,2,1264800,101900,89800,79400,50100,67700,980300,100
6745,2,1044400,102300,63300,72800,46200,66700,789300,100
6746,2,1178100,104900,59000,88100,52000,77000,912600,200
6747,2,1047600,122900,61900,80600,50100,69500,770800,100
6748,2,1199000,111500,85500,80000,50400,68400,905100,200
6749,2,954000,126500,56600,90700,52300,78600,660200,200
6750,2,1554900,138000,64700,85300,49600,73500,1241200,200
6751,2,1176200,107200,114000,81100,47400,70100,850000,100
6752,2,1474800,158300,64400,82400,50300,70700,1149100,200
6753,2,1330400,142700,53900,83900,49500,72300,1032100,100
6754,2,1453300,118600,60900,73400,48500,59900,1158600,100
6755,2,1195700,114800,66400,80600,50800,68600,917200,100
6756,2,1167600,107200,71400,81800,50700,67700,887800,100
6757,2,1065300,173300,71100,82100,50600,70000,718300,100
6758,2,1123900,135300,55000,81700,48900,69700,806000,100
6759,2,1037400,117700,63500,83500,50300,70700,746200,100
6760,2,954300,150600,53100,76100,49500,63400,657800,200
6761,2,1214100,111100,52600,77700,47800,68500,955800,200
6762,2,1572900,102800,53700,101800,62200,94800,1293300,200
6763,2,1292800,125300,59300,83200,49300,71600,1010200,200
6764,2,1337700,107400,55200,87500,52000,76000,1069800,200
6765,2,1226700,117500,51500,75800,48100,66400,964800,100
6766,2,1109600,108100,63800,87400,52100,76000,811100,200
6767,2,1199300,116100,49300,80700,49600,68700,939700,200
6768,2,1087400,140100,53100,77400,51600,65700,804900,200
6769,2,1120100,95900,37900,87700,52400,76600,881600,100
6770,2,976900,119900,67600,82900,50700,70900,686900,200
6771,2,779700,184000,39500,76300,53100,63800,459900,100
6772,2,1039500,145300,52700,72700,47700,58500,744900,100
6773,2,1139600,115800,89000,94600,51200,81500,820300,100
6774,2,1413800,127100,54800,75700,48100,63500,1134800,200
6775,2,1023700,139500,46700,77400,47700,65100,742700,100
6776,2,1975500,112400,63200,82300,49900,71700,1695900,200
6777,2,1744000,161200,59300,78300,50400,65300,1422100,200
6778,2,893000,138200,57800,83600,50700,70700,543400,100
6779,2,998500,136000,57600,79500,50800,66600,701800,100
6780,2,1100600,109500,58600,81300,50900,70300,839500,200
6781,2,896200,112400,62200,75300,47900,63300,635300,200
6782,2,803100,116200,60400,80600,50500,68000,531800,100
6783,2,827500,119500,72500,79800,50100,68300,541700,200
6784,2,733700,136600,49100,82700,51600,69600,448000,100
6785,2,1030700,98800,45600,87500,49400,75000,780300,200
6786,2,809200,111900,56800,74100,48200,61000,549200,200
6787,2,849000,142100,147100,75400,47800,62800,472100,200
6788,2,1122800,139900,56100,86800,51000,74700,823300,200
6789,2,1376400,132200,63700,83200,50300,70300,1076700,200
6790,2,1079400,142200,64700,80300,48600,68600,744000,200
