tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains
10916,4,1755600,114500,117300,69000,61200,55400,1419500,10700
10917,4,1692200,83500,117000,73400,52400,60900,1388400,10700
10918,4,1165300,99500,88700,68700,51300,56200,849800,10800
10919,4,1483800,74100,107300,77700,53300,66300,1166400,11000
10920,4,948900,88300,98100,72400,52600,60400,648300,10800
10921,4,2807800,116200,110800,64100,52200,53300,2492700,10700
10922,4,2631900,103600,108100,76100,53400,65200,2319700,10800
10923,4,1896700,90700,117700,63100,52200,56100,1600600,11100
10924,4,1611400,121200,104800,64000,51700,52700,1294500,10800
10925,4,1435500,97500,146300,61900,50700,48800,1099600,10700
10926,4,1213700,90700,102000,73600,52300,61500,919600,10800
10927,4,1291300,88300,105800,68600,48600,58000,1003300,10700
10928,4,1434500,101500,90800,60300,50300,48900,1154600,10800
10929,4,1944500,106300,97200,62000,49500,48800,1637300,10700
10930,4,1570200,73000,124100,66700,50100,56800,1249100,10700
10931,4,1932700,79400,111000,62800,59500,47900,1647200,10700
10932,4,1385200,89200,99000,79300,52100,67800,1083100,10800
10933,4,980300,81500,88100,60600,49200,48800,719700,10600
10934,4,883300,108200,106900,60900,50300,52400,583700,10700
10935,4,924100,89900,104600,62000,50500,52900,639400,10900
10936,4,868200,84300,113800,59300,51000,51900,577800,10800
10937,4,1724900,80300,119000,63900,57100,56000,1428700,10800
10938,4,1789900,84200,115400,75400,53600,64600,1478700,10700
10939,4,1182000,96100,106300,59200,49200,48600,854900,10900
10940,4,1039400,85800,91800,75800,52900,65000,723700,10500
10941,4,932500,90600,101500,72000,52700,59400,640300,10800
10942,4,824200,84100,101600,75000,53000,64500,513900,11000
10943,4,628600,115900,127000,60900,50800,52200,300900,10900
10944,4,772300,80700,97900,74800,52300,63700,494800,10600
10945,4,1943700,102500,112500,68700,61400,61300,1637000,10800
10946,4,1227600,116500,103700,73000,51900,61200,911400,10600
10947,4,1324600,80900,103900,73700,52600,60300,1038700,14800
10948,4,1096600,72200,90200,75200,53500,64800,830900,10800
10949,4,1373000,188300,123000,60900,50300,50800,971200,10800
10950,4,1532400,76400,84400,79300,52000,68800,1260100,11000
10951,4,1606900,77500,96300,77600,53300,66200,1324700,10500
10952,4,933800,78400,108600,56400,49300,49500,657600,10700
10953,4,1773400,83200,120300,75700,53500,67000,1454600,10600
10954,4,1622900,158700,107100,71700,52700,57700,1233100,10800
10955,4,2872500,76700,109200,67100,58000,48500,2584500,15800
10956,4,1334200,79900,103800,58300,49700,49000,1061500,10800
10957,4,1738100,79700,103100,66000,52700,56400,1463400,10700
10958,4,1597600,89400,88500,66700,63500,57000,1321300,10800
10959,4,1681400,129900,96800,72400,51600,61400,1323900,10800
10960,4,1586700,81000,99300,76300,52600,64700,1282000,15800
10961,4,1823300,65500,89500,79300,49400,67200,1559000,10800
10962,4,1428600,84000,91700,76100,53200,64700,1141000,11000
