tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
6674,4,2346300,70200,97500,126700,119100,94800,1236300,710900,200
6675,4,2235200,67100,74600,103500,98300,90700,1199100,716300,100
6676,4,2206300,68500,72400,130200,100200,123800,1193500,690400,300
6677,4,2788500,73400,100500,108800,105600,92700,1714200,744200,200
6678,4,3059800,69400,76500,126400,121400,112900,1051500,1650700,300
6679,4,2364900,71800,71200,123900,99000,115700,1337600,697000,0
6680,4,4290600,75200,85000,128400,120600,94300,3229900,734700,200
6681,4,2819500,128300,80800,133700,123200,117100,1690000,700000,100
6682,4,3371300,107600,95400,160200,146000,122400,1339600,1579700,100
6683,4,2852800,77500,107100,124900,122300,115800,1791200,719800,100
6684,4,2073600,69800,76500,107200,100200,95600,1086100,697900,100
6685,4,1836400,63800,83400,103000,97700,95200,878700,673000,200
6686,4,2365700,72300,66100,112900,105800,108800,1217700,867900,100
6687,4,2299300,73200,67300,127400,119500,95800,1311200,692500,100
6688,4,3138300,72900,71700,126300,119000,94900,2136700,693100,100
6689,4,3028000,88300,92100,164900,151500,118100,1892100,743200,100
6690,4,2770600,92500,86500,144800,131800,115500,1606600,713800,200
6691,4,2787100,90100,84700,123200,100000,108300,1630000,714900,200
6692,4,2491500,81200,86500,138700,112900,124400,1434900,697600,200
6693,4,2551200,88300,100900,110700,99900,95800,1473700,717100,100
6694,4,2703800,162300,76800,130600,98800,117700,1552300,713400,200
6695,4,2715600,150900,100100,150600,135300,99700,1407200,856500,0
6696,4,2534900,70200,110900,104800,100700,91700,1430900,704800,100
6697,4,2823300,72800,75800,131900,123000,113700,1275800,1224300,100
6698,4,2233900,68800,78400,204600,112500,96000,1120400,681200,100
6699,4,2988400,74700,111300,114400,111100,96500,1645800,971400,100
6700,4,2262500,73800,100300,130100,101500,122400,1281000,640900,200
6701,4,2430400,74100,103600,148100,107000,136400,1372300,687700,100
6702,4,2681500,82400,88100,127000,105500,118500,1582600,767000,200
6703,4,2475800,74800,97900,148700,108000,136200,1455400,663200,100
6704,4,2291500,72600,93000,129500,121100,93000,1295100,662000,200
6705,4,2313600,73200,92600,109800,101600,102000,1267500,720300,100
6706,4,2317500,67200,121600,104000,100600,95500,1233700,669200,100
6707,4,2565500,71900,92300,153400,117400,141700,1538500,647900,100
6708,4,2125000,70600,108600,130100,100900,121200,1144900,647600,100
6709,4,2345600,74000,107200,104200,99700,95500,1381800,642800,0
6710,4,2231000,68200,98000,131500,123500,95700,1269600,625900,100
6711,4,2017900,73000,87100,122900,120100,110800,992400,661800,200
6712,4,2051500,73200,88800,124700,122200,114900,1096100,627600,200
6713,4,2173500,67700,123800,127500,118800,94800,1182700,629800,0
6714,4,2328100,73100,107500,130600,122900,93100,1314800,663000,200
6715,4,2127500,65200,91900,102800,99700,95000,1177600,654100,0
6716,4,2171400,67500,115300,105700,98100,95600,1195800,655800,100
6717,4,2598800,69700,89100,152900,121100,146300,1395400,855300,200
6718,4,2988500,77100,91200,129300,122400,120300,1659400,927500,200
6719,4,2580600,160400,99600,141900,133700,126900,1302600,821600,100
6720,4,2709200,70400,132600,107100,104000,98000,1427000,940200,100
6721,4,3453700,70900,109700,119500,112600,95400,1546300,1581000,300
6722,4,2291600,199800,85800,179200,169100,112700,1063000,724900,200
6723,4,2078200,72200,120300,145700,100600,138800,1013500,688500,100
6724,4,2312200,82900,103100,150600,99400,136700,937800,996100,200
6725,4,2610700,78700,94000,124800,121800,115200,1200200,987100,300
6726,4,2355200,82000,131400,155900,119300,143300,964900,938400,200
6727,4,2092000,71200,105000,104900,99200,98000,1069400,686200,200
6728,4,2196900,76300,113900,122100,119800,113200,1158900,687200,200
6729,4,2338900,85300,112800,158200,120400,145500,1106800,823000,100
6730,4,3318500,76500,107400,124900,116700,102200,1913500,1006100,100
6731,4,2180300,75700,111200,125600,99800,118000,1159500,665900,100
6732,4,3063800,76700,97900,153100,122300,138100,2024300,660000,300
6733,4,3284300,84800,173200,152000,123500,137000,1847100,977600,100
6734,4,2546500,77100,99500,148900,98000,136300,1461200,709400,100
6735,4,3424900,169500,92900,165000,126400,150300,1900200,1032300,100
6736,4,3455900,111300,108400,200600,153200,184800,1954500,1008900,100
6737,4,2090200,73800,104700,127400,120100,95000,970500,739700,100
6738,4,3264100,82200,90900,246500,100300,232200,1732900,896500,100
6739,4,2818900,83100,114900,122900,115700,93500,1378200,990300,300
6740,4,2977100,74200,95600,143400,122500,136200,1649000,973800,100
6741,4,3366000,74500,105000,113500,104300,96400,1751200,1238300,100
6742,4,2994700,78200,91800,187600,147600,179300,1849400,716700,100
6743,4,2291300,145300,108900,111100,101100,95600,1211000,688200,100
6744,4,2602600,109500,83400,110800,100100,97000,1548100,721700,100
6745,4,2601400,172800,94300,106600,100600,92600,1494200,706800,100
6746,4,2574600,108900,74800,128900,99000,116600,1511100,722400,100
6747,4,2436400,77800,112600,156100,118300,142800,1316900,741100,200
6748,4,2401900,67300,81500,130600,99100,117400,1370200,724600,100
6749,4,2221900,71700,93800,143100,125500,130500,1151200,716600,0
6750,4,2081900,64900,90900,100200,97700,93000,1053900,725700,0
6751,4,2198000,84700,79300,109500,99500,94900,1042500,840600,300
6752,4,2111500,82300,77300,104500,98100,91600,1092700,710700,100
6753,4,1934400,66400,109700,106700,103400,93900,895900,707400,100
6754,4,2224700,71700,85700,137000,125700,94100,1141800,726900,200
6755,4,2332700,75200,90100,107200,99700,97600,1249100,763000,0
6756,4,2326100,65200,81400,155700,117900,143000,1249300,691800,0
6757,4,2368600,73300,77700,126400,121400,113400,1336400,709700,100
6758,4,2831900,81300,85800,133200,124800,100300,1594600,857800,200
6759,4,2279100,71600,84000,123300,119300,114500,1232300,708400,100
6760,4,2406400,72900,82900,151500,118500,144500,1366900,688300,200
6761,4,2015400,76000,86200,105400,98800,95600,1005500,697400,200
6762,4,2200200,69100,78600,155000,117200,147500,1123400,739800,100
6763,4,1917900,66800,89100,109400,100100,95800,951300,669900,100
6764,4,2115700,61700,81400,150800,116700,143800,1084500,698100,100
6765,4,1865300,59300,86100,99900,97800,92200,873900,701700,200
6766,4,2257200,92500,81800,233900,103400,220300,1089300,690400,100
6767,4,2298400,70200,81000,106800,99400,95200,917700,1070500,200
6768,4,2200600,72600,77600,129700,122600,93500,1144600,734000,200
6769,4,2180200,63500,82300,104600,98000,97300,1146600,727700,200
6770,4,2407500,75700,71600,154000,116500,139400,1299000,704500,100
