tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains,spacePlatforms
3320,4,2376800,425600,140500,535200,258800,524700,918000,317300,100
3321,4,2288600,399000,120700,499400,197900,486900,899200,280600,100
3322,4,2353600,387500,134100,484900,197700,477500,984200,273500,100
3323,4,2986800,493800,100000,737400,213800,719900,1196000,431600,100
3324,4,2621300,414800,127500,596300,252800,584200,1169400,287600,200
3325,4,2331900,396500,106200,494500,196600,486400,1023000,285400,100
3326,4,4104000,437200,112400,653900,289000,646200,2569400,303200,200
3327,4,2572300,439400,114900,709700,301600,696300,998400,284600,100
3328,4,2249700,383600,126000,489200,195900,480900,941800,275800,100
3329,4,2610700,432200,98400,534700,215300,521700,1112300,373900,300
3330,4,2244800,400700,140300,506200,202000,494300,858300,286000,100
3331,4,2295500,386700,98000,494400,194800,482200,992700,271200,200
3332,4,2173600,398600,126100,505200,196400,490300,829500,261900,100
3333,4,2131500,406000,116000,506800,205700,493400,769900,279400,0
3334,4,2372400,401700,114800,506400,207300,499500,923100,317200,100
3335,4,2097600,384600,91100,490500,193800,482000,783800,263700,100
3336,4,2225000,409800,105400,504800,195000,496600,787000,294500,200
3337,4,2835800,427200,90200,534400,241400,521500,1430500,273700,200
3338,4,1975400,375200,97700,482900,193300,476200,657400,260300,100
3339,4,2927200,1245800,84300,504800,199200,491400,766300,256200,0
3340,4,4312200,451600,91100,504800,201100,498000,2935800,282400,0
3341,4,3658500,1206400,86700,512900,204200,500500,1522600,272800,100
3342,4,5166500,528500,90500,565200,205400,552100,3646900,293800,200
3343,4,3376300,447100,87300,520200,246200,509500,1977100,287900,0
3344,4,3837400,540800,104900,542000,213500,527100,2268600,319800,100
3345,4,3024200,442900,98100,606800,246200,593400,1519600,304300,100
3346,4,3417200,416500,97400,517000,246300,501900,1992800,302400,100
3347,4,2601100,395200,102600,499900,198500,492000,1261000,287600,200
3348,4,2982800,413300,95300,589100,244600,582100,1565600,281500,200
3349,4,2957300,447500,98500,614700,295400,600600,1418500,321300,100
3350,4,2962700,408500,109600,600800,250500,588700,1363200,304000,200
3351,4,7253100,5009600,95500,557200,223000,540100,1167200,288800,200
3352,4,18140500,846100,116800,893300,359200,876800,15705000,498400,200
3353,4,9663600,746500,169800,796800,277100,779600,7483600,399400,0
3354,4,7411500,1092500,149700,674400,238600,657700,5032800,401400,100
3355,4,5747400,581800,144000,629100,222300,612300,3884100,447400,100
3356,4,8959400,598600,153600,715000,283600,705700,6959900,408200,100
3357,4,6137600,537500,170400,604500,224200,595200,4368000,405600,200
3358,4,5157200,528100,173600,659000,252400,650500,3228000,388700,100
3359,4,4080800,509100,174900,764800,314300,748100,2154400,380600,200
3360,4,5137900,520200,161500,614600,254700,599900,3422100,369200,200
3361,4,4420500,588300,229400,556100,210800,542600,2620700,377200,100
3362,4,3153400,451300,173200,632600,242300,617500,1507200,349100,200
3363,4,3416300,461900,152100,598200,204900,590400,1792000,371000,0
3364,4,3367100,454200,271200,527600,202600,519300,1736400,320400,200
3365,4,2789900,491700,120600,542200,203100,525700,1261000,310400,0
3366,4,4078600,493800,150400,555300,219300,537900,2453200,307700,100
3367,4,2673500,473400,127400,600200,243500,585500,1107200,294700,100
3368,4,2461500,408200,132600,556900,210200,548900,1012400,294000,100
3369,4,2374700,429700,113400,514500,199400,500900,965600,284600,100
3370,4,2595200,392900,107000,594100,245000,582000,1104000,282700,0
3371,4,2255300,395500,120500,503600,198100,492000,902600,278300,0
3372,4,2402600,392400,117400,593200,247200,585600,965600,275800,300
3373,4,2236400,384200,105300,587200,240100,579500,836500,266200,100
