fileName,run,wholeUpdate_average,controlBehaviorUpdate_average,transportLinesUpdate_average,electricHeatFluidCircuitUpdate_average,electricNetworkUpdate_average,fluidFlowUpdate_average,entityUpdate_average,trains_average,spacePlatforms_average
35_henryjk,0,1224560.1918398165,186224.63995078162,81099.9664420146,129937.72756508851,119731.93321960905,92944.05324533684,774983.4978606785,151.2570262031936,122.41953074750413
35_henryjk,1,1234667.1271567997,189081.9905478341,82678.67949327442,130845.81503957046,120770.64794876814,93215.42548728992,780328.2166727257,154.85891663637128,119.45803853575323
35_henryjk,2,1226623.5465197572,186987.0186526469,80865.38214155877,130487.63108588048,120359.64931905255,93017.48930339215,777664.2635420454,157.05137168265333,122.76350009787745
35_henryjk,3,1245566.6545485053,186477.9524035907,80360.07718336642,130670.81294219637,120701.16613999273,93305.5510500853,796311.9382533069,149.2547330741911,120.67171900780224
35_henryjk,4,1234972.7089683716,187268.81903856373,80774.34771665874,130220.57384155037,120040.89879470902,92915.43387678626,784607.6288486815,149.9818227579071,122.22936883022456
35_henryjk,5,1224670.2844039262,185459.24103023016,80287.05500713107,129825.49288291059,119771.78332727426,92751.19270673118,777345.5214071982,147.4314158673341,118.78687882770771
35_henryjk,6,1232295.3773875108,188125.58516737045,81922.91451103218,130378.10061802623,120344.62932408624,92978.55365082916,779996.8371598758,146.91965658994937,122.30767079616321
35_henryjk,7,1231618.4317234822,187471.3023294835,81471.18767303336,130907.56732570821,120925.19925053832,93654.17097793563,780816.9439861294,149.1065186386644,122.10911938253307
35_henryjk,8,1219126.1584496212,186781.40607958834,79823.7450711709,130123.11026594703,120028.15235325372,92329.51145166252,772185.6819262283,140.65829581364133,124.08904052126738
35_henryjk,9,1228041.455297967,186931.14181045332,80998.00329986856,130294.71182080035,120325.48169691546,92810.31348751363,778399.2197768394,147.10702200844543,125.72219581084482
34_osboz,0,1630492.3627618223,148069.63002321095,150780.2958695713,79226.24514108336,67945.89613803518,38083.847423026375,1197381.3026091333,161.30204983360832,127.26586313934953
34_osboz,1,1635796.3533655864,148410.050616628,150569.1266534299,79117.28236248218,67785.44142733297,37994.99426717749,1201395.5983109148,164.32506501859672,125.94032271595962
34_osboz,2,1607704.972174837,147027.31620011746,148514.77390307336,79235.1156352247,67867.3452837048,37776.00044743981,1180868.8609860456,162.42064934701753,127.63500097877457
34_osboz,3,1631114.0719818787,148407.2485248469,150749.00864118125,79270.1305964932,67913.33929919741,38001.73662574457,1199008.9683715987,157.6330434296261,129.31290024888838
34_osboz,4,1633848.9135602226,148643.5358930619,150665.32061858554,78952.99365194776,67584.07393942784,38072.09933163679,1200275.8494365055,163.14494253195,124.63156128527083
34_osboz,5,1625064.8899577728,146626.38776252134,149478.35789591432,79458.37691210605,68078.47814536201,38092.25369836964,1195605.1903017422,164.04541514024442,124.15056349450488
34_osboz,6,1631016.6615397523,146588.60426745715,149015.17939539696,79424.41063788137,68018.59392041164,37958.069297239854,1202472.2391565759,163.93075869011997,123.70871668670824
34_osboz,7,1632145.4235297407,148980.9390642915,151199.1330853771,79094.39581643781,67906.04043737242,38123.30042786431,1198196.4903940267,165.91067982885428,133.33985849716154
34_osboz,8,1623314.687211611,148226.72334237534,150626.21437959676,79592.30123884896,68171.00869711122,37860.4379317095,1191638.600072709,162.5381022959255,122.15665986185296
34_osboz,9,1626657.4652535026,148190.69604854722,150063.5112838726,78865.44646103079,67609.13616152576,37921.67566207109,1195351.7100590062,163.8636427193154,130.37836628541066
32_reja,0,1346245.4039542493,122712.25705416818,118517.15092703934,88123.04314997623,78844.67127156799,40462.25006292122,969617.1229620515,152.03724936379652,123.14941693000364
32_reja,1,1393595.620682905,131380.480438491,123368.10033837636,92975.10556782907,82155.67829077995,45254.00318800861,994818.084957633,156.85002377023966,124.90282166727258
32_reja,2,1392151.659722028,130672.17763360273,124564.20761206969,93474.32534466847,82697.21468721161,44440.661092312424,992672.0601806538,162.61640426186415,123.41788081322184
32_reja,3,1392609.1137895356,130284.97161553735,124190.17030677592,92942.02019072122,82115.9372465673,45178.93397466372,992593.6127967784,157.4121200257278,123.81498364048211
32_reja,4,1406647.0259235436,129485.24846891692,123088.44486702648,93269.38113481921,82433.94949523197,45197.424424620374,1010446.1198579379,158.80197992113872,125.72499230962835
32_reja,5,1385741.3714030033,129064.76970832517,122049.13168712772,93271.83646075115,82424.14217399816,45210.881176766685,990235.5434995386,166.50353757096116,127.79440140943538
32_reja,6,1392482.650521547,129849.29668055594,122946.16739841718,93693.23247294387,82934.15363964316,44619.52235800777,991483.9005565032,160.74834307447077,127.27145613691658
32_reja,7,1386576.8953270505,130254.79459716435,124282.2646047149,93458.18675018876,82659.39763416203,44428.45437512235,988770.6395592717,166.38328812326966,124.20369697139182
32_reja,8,1389439.3383483877,130351.72404150004,124778.04748454934,93147.82012919824,82298.4898906569,45571.990268184236,990762.5744567801,155.5943958164378,126.59749993008754
32_reja,9,1428629.5897536285,132353.88014206215,128195.16765010207,94126.36539053105,83165.03257921083,44670.69269274868,1019916.5468833022,170.89963365865935,127.52593752621718
30_reja,0,1411096.9238513382,130167.45155065857,124457.06255767778,92590.40521267374,81473.17039067089,40064.12931010375,1013141.9279062614,163.72102128135575,129.0947733437736
30_reja,1,1411624.62037529,130432.54285634386,125453.96124052686,91767.27537123521,80667.98288542744,40736.080427305016,1012821.0716183338,164.92351575827064,135.12402472104924
30_reja,2,1409838.4658407674,132202.27075701221,127215.09270393467,92424.80214771106,81267.47951564641,39612.91143488353,1006083.1986353085,166.59022903325038,124.3714868984032
30_reja,3,1408239.3047904025,127161.66279817668,122575.51385665147,91888.4085125423,80715.3248133337,40786.49291087558,1011429.2485807769,162.29201040297548,124.70427025364243
30_reja,4,1411695.4556894768,130904.3122011242,125495.87796079309,92890.01090634525,81805.64892754272,39885.62319975391,1012359.4339886463,166.90623339578846,130.0288039374703
30_reja,5,1399935.1715652004,128789.3761011214,123505.56223608043,91620.47316759417,80513.55462960374,40723.568891747535,1005370.843703683,165.64221594563605,128.06286529265358
30_reja,6,1422602.609133365,132088.3246175788,127503.35300204145,92911.19158813165,81848.05223859727,39793.087055007134,1019282.521882603,167.0460583349646,125.45932492519366
30_reja,7,1407103.8004418467,128664.89555077044,123732.80293073073,92387.72337034033,81299.32045079561,39718.88475628513,1011437.7051930983,149.90072429318494,123.35076484241729
30_reja,8,1423372.613887413,130492.30403534774,124863.01630358791,91995.31866103638,80733.74535082077,40624.96154814173,1022654.8784921279,158.29861014010459,131.4997622976034
30_reja,9,1409528.3900556504,129960.59453564137,125566.59582203082,92438.97200704718,81300.97597807545,40088.23512961772,1010806.1858553091,169.5685002377024,125.67465533152493
29_geist,0,1398014.8102575575,191624.5085153388,123094.70902430157,149109.00752258173,101230.38955228054,136212.15917671076,872110.7497413239,159.22704773623423,121.32050672557958
29_geist,1,1400256.7968902932,191530.81182359686,124784.02080595095,144092.32640733803,99059.95413741995,131224.73223524148,878825.848038256,160.0016778992701,128.56623507368775
29_geist,2,1399325.1936575407,190208.1489974552,126367.17469727901,149550.1020722056,101571.66867082413,136650.5579015073,873307.1031069101,160.26175228613775,124.69308425850835
29_geist,3,1402239.542492799,190940.4457619061,126511.49640649906,144178.86126569536,99163.3574764395,131360.42674571436,880304.5219385329,158.80477641992226,128.53267708828545
29_geist,4,1401168.9169160211,191366.3077826561,126511.88791632875,149792.5864817249,101630.78945160659,136805.02810481278,872173.7073184373,161.30484633239183,129.57297463575603
29_geist,5,1403600.089487961,191764.44531446628,126224.38267289354,149881.32498112365,101587.14169859336,136944.0392628429,875779.0262591236,156.76333230795044,126.69817388629436
