tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate
417,0,8657000,36000,105500,218500,210800,169100,8233100
418,0,7599500,49600,128000,231400,209000,222200,7035100
419,0,7768700,64700,122900,230300,220400,221400,7281300
420,0,8380200,64600,122900,344500,267000,338100,7794400
421,0,7153100,55500,122700,216300,171100,209800,6627800
422,0,7888400,35800,104400,225900,215800,218700,7426400
423,0,7455600,83000,121900,232300,211000,222300,6975700
424,0,9398900,39200,119200,231400,215500,219900,8967100
425,0,7339200,34300,133700,216900,210500,211400,6897300
426,0,7477000,29700,134200,233600,219300,228300,6993100
427,0,6293600,30700,99600,211700,194600,204000,5904300
428,0,7898300,51300,114900,238700,209100,229300,7447000
429,0,5986300,27100,124100,222900,199400,213400,5566700
430,0,7162800,54100,126300,205300,185500,196900,6688100
431,0,9322200,54400,114300,230100,208600,222000,8874200
432,0,9410400,55100,127400,237900,216500,230500,8951900
433,0,7257800,22200,110700,224200,202300,218400,6854500
434,0,7276000,28500,109700,240400,189900,230500,6849000
435,0,6878300,35500,106200,229300,215400,217700,6463600
436,0,8498400,21500,164100,226300,205200,220300,8021800
437,0,7312600,67900,94500,234100,209600,226000,6865100
438,0,8762400,59800,125800,198900,196700,191900,8275600
439,0,10841900,39700,112300,234000,216600,223500,10355800
440,0,11147600,29800,115900,314000,301500,208700,10625600
441,0,9460500,26000,120000,225800,221300,203000,8983400
442,0,7402800,71400,110100,217100,210900,162000,6913600
443,0,8090700,82700,110600,226500,203100,217200,7619300
444,0,8661100,49800,99800,223900,179600,217600,8234600
445,0,7353800,23800,124900,228300,202900,218800,6904700
446,0,8178700,27900,114300,240000,220100,226600,7720500
447,0,9971300,29500,135300,236000,214800,227300,9513700
448,0,11575100,76900,108100,243200,213200,235000,11095000
449,0,9222300,66900,139400,238400,208200,231600,8697300
450,0,7205300,74100,110300,219300,182500,211400,6730200
451,0,7740700,27400,113000,218000,167800,212200,7300100
452,0,9335200,40500,119000,224200,208100,217000,8830500
453,0,8410800,82800,123300,363400,357600,225100,7719600
454,0,8274800,41100,113700,236200,214000,226400,7794000
455,0,7584400,60600,111500,225500,206500,214300,7133700
456,0,9742000,30100,117600,195600,175700,188800,9276600
457,0,7566700,33200,116000,229400,213800,220400,7118100
458,0,7493300,32100,132000,199600,176200,189300,7051000
459,0,5189500,75400,116200,205000,198900,199000,4731900
460,0,6907000,38300,122300,194200,187400,185100,6510300
461,0,5415700,21900,106400,188900,172600,183100,5050600
462,0,6641900,26600,121200,217900,203600,212600,6237500
463,0,9119500,79400,112900,240100,204100,230000,8651300
464,0,9992400,17400,115500,189900,173100,184700,9627600
465,0,7405600,70000,113600,190700,184500,171600,6985800
466,0,8049700,19700,122700,212600,204500,209300,7604400
467,0,8395000,71600,113300,219300,212100,161300,7952100
468,0,8834100,42200,135800,233500,207400,222000,8367800
469,0,7809900,69900,124000,222600,190600,214000,7319100
470,0,8234300,19100,119700,215700,202300,210700,7796500
471,0,10936100,40600,106400,210000,174500,200900,10461700
472,0,11847400,54600,148500,237100,220700,229100,11334500
473,0,9038100,49000,135100,209500,203300,168000,8567600
474,0,6708800,34900,119600,218300,212500,212500,6270600
475,0,7361100,30200,120600,222700,217500,219800,6934100
476,0,9127600,32200,116800,245500,185500,234800,8649000
477,0,7948900,68200,111300,220800,212900,168100,7458800
478,0,8362900,24900,144500,231600,188900,222500,7832500
479,0,7361600,40400,132900,236000,211800,226100,6857700
480,0,9674800,35500,164900,261500,258700,249900,9149500
481,0,8567700,22900,133300,228100,207600,222200,8120700
482,0,7525100,24700,132400,214400,167300,208500,7106600
483,0,6103200,37200,110800,227200,221800,220300,5596600
484,0,7448500,61400,93400,235000,206600,224400,6922200
485,0,5769000,26500,113800,218500,209000,209100,5252600
486,0,7213600,58400,122900,208100,202200,184200,6619200
487,0,8763000,64500,123800,212300,207400,209000,8318900
488,0,14576100,42900,107100,216400,163700,205600,14174800
489,0,8087500,99100,124900,231600,175000,219500,7582400
490,0,7385500,33100,122800,220300,193100,214300,6914800
491,0,7960300,35900,165400,240400,196000,228000,7468000
492,0,8823000,76700,116800,224000,209100,216800,8362600
493,0,7830200,23700,104000,224700,206800,217400,7436000
494,0,8676800,65900,123900,217000,209500,170100,8218100
495,0,10895100,67600,124300,220300,217200,210700,10416900
496,0,11669500,46500,120400,219400,211800,168700,11231100
497,0,8351300,74300,127700,237000,167500,227000,7857000
498,0,7153900,23500,121900,221900,214700,196000,6676200
499,0,7445500,24500,113100,221600,213700,218400,7013200
500,0,9019100,69500,110600,229800,203700,221400,8533500
501,0,7886300,71200,101000,240200,181400,229200,7375900
502,0,7929300,26700,106900,216900,210600,214500,7475800
503,0,10475400,42600,133400,354200,272400,347700,9895700
504,0,12485200,32100,132600,209500,186000,200000,12067600
505,0,8581800,68500,106300,233600,171500,227200,8123800
506,0,7894700,36700,154500,235300,211900,224500,7425800
507,0,7855100,71300,119600,215000,195900,204700,7394300
508,0,8482900,36900,109800,232100,204700,226200,8047200
509,0,7716200,27300,123300,221800,209200,215400,7282500
510,0,8049400,37900,107600,231000,210000,219400,7606700
511,0,7160900,23500,117600,224000,205300,217700,6726600
512,0,9996000,59600,112000,219000,209900,154300,9554400
513,0,8200000,23700,141400,232400,215800,227800,7743400
514,0,7214200,54600,115000,219900,217300,214500,6680900
515,0,5793000,26400,106300,223100,217300,216200,5330600
516,0,7836700,66500,117500,189100,183100,158600,7364200
517,0,5496000,44500,105600,190100,184900,184200,5103900
518,0,7045700,36200,144900,217800,207900,208500,6566700
519,0,9831300,47300,127200,242500,215900,235200,9348800
520,0,9435300,69700,107200,226900,205100,219500,8982500
521,0,7820900,66500,115600,217200,179500,212300,7379600
522,0,7406900,71000,120400,232400,206200,221200,6927000
523,0,7983200,20800,122800,219200,213700,214000,7571700
524,0,9226400,49400,121800,240300,231100,231800,8768000
525,0,7963700,26200,119100,224100,200800,218100,7546700
526,0,8222400,63900,127600,213500,207800,189500,7730800
527,0,10749700,70600,131900,230100,173100,219500,10283000
528,0,11892100,71000,135000,245600,174300,235400,11397400
529,0,7932100,61000,137100,230000,223000,179200,7455600
530,0,7357300,43200,140000,236500,221600,230300,6873400
531,0,8039300,28800,108000,235100,217600,229000,7551800
532,0,8970200,69500,113200,343000,267500,337000,8363800
533,0,8273700,23500,116700,249500,205000,241000,7810500
534,0,8353100,34600,131300,246300,214300,235600,7859500
535,0,11160900,50700,119900,224000,211100,217600,10682100
536,0,11740100,45600,132900,251100,219700,240600,11222500
537,0,8605000,41800,109700,228100,211100,221600,8171800
538,0,7167500,28000,123200,238400,220500,229100,6645400
539,0,7582600,36800,122500,222800,215600,161900,7116100
540,0,8393200,61000,113800,237800,220000,229400,7935600
541,0,7415700,94900,128200,223300,202900,215300,6925700
542,0,7699700,54500,126600,223500,208600,218000,7250600
