tick,run,wholeUpdate,transportLinesUpdate,entityUpdate
26734,1,1482400,142900,1148400
26735,1,1821100,129600,1526900
26736,1,1883600,122900,1502200
26737,1,2046000,128900,1722400
26738,1,1707100,136900,1295700
26739,1,1594800,166900,1202200
26740,1,2173000,140900,1786100
26741,1,2407000,143500,2053200
26742,1,1719100,157900,1366100
26743,1,1869400,177200,1472000
26744,1,2276800,176000,1872300
26745,1,2371300,198800,1976900
26746,1,2070100,161900,1712300
26747,1,1675600,141100,1334900
26748,1,2011600,206000,1612400
26749,1,2522700,164900,2087000
26750,1,2412700,156500,1976100
26751,1,2391500,194600,1913800
26752,1,2028200,181500,1670500
26753,1,2636400,237100,2191700
26754,1,2335200,174500,1989300
26755,1,1961100,145600,1591000
26756,1,2162700,149500,1803200
26757,1,2028100,133700,1708300
26758,1,2111400,145200,1698300
26759,1,2302800,157700,1937600
26760,1,1859000,152100,1517500
26761,1,2005600,159200,1643500
26762,1,2318700,177900,1934600
26763,1,3007600,176100,2618800
26764,1,2104800,159600,1747800
26765,1,1896700,136400,1566400
26766,1,2182700,134300,1765100
26767,1,2273100,164500,1891800
26768,1,2432800,152000,2053100
26769,1,2157800,216300,1732000
26770,1,2112200,160500,1691500
26771,1,2155800,173500,1766500
26772,1,2160000,231400,1685300
26773,1,2066400,138000,1659100
26774,1,1683400,145500,1343000
26775,1,1948100,146600,1611200
26776,1,2222400,153800,1847400
26777,1,1769000,166800,1396100
26778,1,1936700,164800,1544500
26779,1,2357400,192000,1967700
26780,1,2541400,155900,2196400
26781,1,2008800,158600,1639400
26782,1,1793900,184200,1372700
26783,1,2344200,178300,1942200
26784,1,2345300,209400,1902200
26785,1,1962800,165300,1647600
26786,1,2086800,164300,1709300
26787,1,2252400,179500,1847100
26788,1,2493000,232600,2066700
26789,1,2154100,175800,1815600
26790,1,2114300,157800,1768600
26791,1,2281900,166200,1871900
26792,1,1983500,162500,1624500
26793,1,2323200,149300,1931400
26794,1,2178500,184400,1762800
26795,1,2129800,132600,1779000
26796,1,2109500,151400,1752800
26797,1,2039000,136300,1713400
26798,1,1706600,122100,1316100
26799,1,1781900,116900,1460900
26800,1,1603900,124700,1291400
26801,1,1684500,126400,1358800
26802,1,1723100,146200,1389300
26803,1,1867700,155000,1522900
26804,1,1817100,171900,1441200
26805,1,1974000,142000,1627700
26806,1,1948500,128400,1560800
26807,1,1718200,131800,1421900
26808,1,1727400,199600,1312400
26809,1,2092300,191100,1663100
26810,1,1942300,139200,1610100
26811,1,1930700,160200,1522300
26812,1,1788900,164700,1446000
26813,1,2031400,145700,1715500
26814,1,2213600,183600,1828400
26815,1,2149200,151100,1808900
26816,1,2019500,162100,1677700
26817,1,2156000,152800,1800800
26818,1,1915400,151100,1534000
26819,1,1940200,159800,1602300
26820,1,2301700,161400,1944400
26821,1,2296700,184200,1922400
26822,1,2296700,184600,1919900
26823,1,2417100,160200,2102300
26824,1,1918000,153000,1565600
26825,1,2032600,175800,1686000
26826,1,2192200,168000,1741100
26827,1,2357800,153900,1998600
26828,1,3129300,137600,2787700
26829,1,2024000,150200,1681000
26830,1,1783900,151500,1414000
26831,1,2457100,187800,2063700
26832,1,2595700,182000,2187800
26833,1,2284700,160800,1956500
26834,1,2074000,154800,1638900
26835,1,2195800,155700,1606100
26836,1,2228600,162200,1812300
26837,1,2025400,158600,1609500
26838,1,2097000,197600,1636600
26839,1,2007300,161700,1594800
26840,1,2374100,166000,1971000
26841,1,2323900,178900,1870300
26842,1,1804500,154000,1424700
26843,1,2118900,166500,1747400
26844,1,2102500,171700,1729200
26845,1,2251900,188500,1822600
26846,1,2297600,174400,1912900
26847,1,1915100,172500,1527400
26848,1,1876800,187900,1514300
26849,1,2138700,171400,1751900
26850,1,2083700,140300,1717200
26851,1,2782800,146400,2410900
26852,1,1757800,157900,1434100
26853,1,2419900,170600,2016900
26854,1,2241200,186200,1781700
26855,1,2273100,160700,1898500
26856,1,2012500,146000,1625600
26857,1,2254800,151300,1893500
26858,1,2248000,175300,1819200
26859,1,2471700,245400,2003800
26860,1,1645700,147300,1313600
26861,1,1918900,155300,1577400
26862,1,1758800,148100,1472800
26863,1,2088100,167800,1734100
26864,1,1617200,130100,1328400
26865,1,1709700,126700,1377500
26866,1,1960700,124000,1576600
26867,1,1826800,144800,1507100
26868,1,1758300,159500,1397000
26869,1,1586800,126800,1307900
26870,1,1648000,125500,1319300
26871,1,1810300,143300,1419500
26872,1,1597800,125200,1254200
26873,1,1481700,144400,1169100
26874,1,1743900,151700,1378900
26875,1,1848000,133500,1514400
26876,1,1763900,130800,1441600
26877,1,1444300,121700,1102800
26878,1,1606500,140700,1203400
26879,1,1972100,148000,1624700
26880,1,1849800,160500,1521700
26881,1,1843300,164500,1497200
26882,1,1882500,168700,1501800
26883,1,2701100,166900,2342300
26884,1,2094500,183900,1663100
26885,1,2172600,182600,1779900
26886,1,2060000,131700,1686100
26887,1,1784100,142600,1462200
26888,1,2088300,144100,1791700
26889,1,2094000,174100,1705300
26890,1,2226600,170600,1839500
26891,1,2027000,186400,1619600
26892,1,2188200,184700,1812600
26893,1,2085900,146700,1748400
26894,1,2187300,163100,1826200
26895,1,1935900,142500,1579400
26896,1,2228300,164200,1827400
