tick,run,wholeUpdate,entityUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate
37374,0,1058600,546100,148100,112300,156700
37375,0,1316500,907500,95400,194200,87200
37376,0,1059200,770000,86800,94900,82000
37377,0,737700,438400,101500,94100,79300
37378,0,1192000,850800,82500,91200,86300
37379,0,1299300,978900,73800,97500,76000
37380,0,959300,648200,87000,89300,93100
37381,0,1192900,906700,82000,98600,83000
37382,0,951000,654200,96200,92700,88500
37383,0,876800,594500,76000,108800,77500
37384,0,1490000,1148000,155900,83300,78900
37385,0,865500,543800,83600,93900,78500
37386,0,1088000,743300,83700,103000,80500
37387,0,890900,567200,107200,90500,84900
37388,0,644000,390300,71000,86200,81500
37389,0,1615400,1201300,224900,77500,91300
37390,0,1083600,757000,102600,92000,86300
37391,0,1265000,932200,109400,112500,86300
37392,0,1027800,671300,130600,98500,84200
37393,0,828200,547600,80000,109100,74800
37394,0,1572000,1285400,91300,89400,83700
37395,0,1260200,947800,92500,96600,92900
37396,0,1191200,784400,191000,104000,86200
37397,0,1914700,1539700,137200,103700,91200
37398,0,1389200,940200,194100,104600,96100
37399,0,1524100,1189100,89000,97400,77400
37400,0,1850500,1578200,81000,84900,77900
37401,0,1281900,981900,82900,84100,77200
37402,0,1528500,1187400,115700,85500,94500
37403,0,1264900,954300,114000,88500,92400
37404,0,1162100,859700,108500,89800,88700
37405,0,2017300,1653200,157800,92500,94900
37406,0,1317400,945600,151900,105700,98200
37407,0,1556700,1198900,165700,102300,76000
37408,0,1677900,1307600,177700,92900,82800
37409,0,1363100,1033600,91600,117600,86300
37410,0,1811800,1480900,105300,94700,93600
37411,0,1424100,1077400,115500,96700,98900
37412,0,1284400,966800,100500,95300,92100
37413,0,1821300,1431600,140400,118500,87300
37414,0,1243600,900800,90600,102000,85500
37415,0,1239700,895800,88400,124700,92700
37416,0,2062400,1532600,275000,112100,77400
37417,0,1550100,1221100,88300,109700,86900
37418,0,1569400,1141300,85300,96900,125000
37419,0,1304200,838100,142700,167700,99200
37420,0,1044700,716400,85900,112100,82300
37421,0,2314200,1784100,287500,98100,92100
37422,0,2081300,1750600,87700,97300,100600
37423,0,1846000,1475700,138800,93900,107200
37424,0,1808000,1387800,90400,165900,105600
37425,0,1486900,1148800,81000,138800,80300
37426,0,2140300,1776200,129300,98400,82200
37427,0,1385500,999100,156700,89300,97900
37428,0,1658200,1282200,158700,84600,88400
37429,0,1376300,997900,104100,124300,96800
37430,0,1342500,960400,139900,98500,94800
37431,0,1205900,847400,90000,104300,93800
37432,0,1699500,1264900,216100,104900,79300
37433,0,1442200,1125700,93000,100500,90200
37434,0,1614500,1255300,106500,108400,94600
37435,0,1237300,862500,133000,113700,78300
37436,0,1011600,696200,84700,107000,79300
37437,0,1775600,1489100,78200,98900,75100
37438,0,1106800,762100,80800,93500,93300
37439,0,1283100,968900,75000,98200,79500
37440,0,1053400,767600,79500,104700,79700
37441,0,1042900,615100,95200,196800,90500
37442,0,1752300,1451700,85700,101200,84700
37443,0,804400,488100,102400,89600,96000
37444,0,977800,660500,83900,109100,88500
37445,0,1002000,712800,75800,90500,89900
37446,0,754000,425400,73800,111500,86000
37447,0,2163100,1843500,84400,93100,112600
37448,0,1218000,838300,105700,159000,83700
37449,0,881500,526300,120400,107000,87600
37450,0,1185900,792000,146700,96700,84800
37451,0,881600,490800,171900,92700,92200
37452,0,1047100,740400,86300,96600,90800
37453,0,1637300,1324900,98000,91600,92200
37454,0,806600,448000,125100,85800,116800
37455,0,1323300,1001200,89200,114900,83200
37456,0,1223300,936700,77900,93900,82400
37457,0,929700,615300,83400,104700,83000
37458,0,1833100,1346700,130000,113600,87600
37459,0,949600,448800,157200,125200,90400
37460,0,1252400,939200,91100,108100,84500
37461,0,1117100,784300,90400,95100,87100
37462,0,924100,572300,115800,85300,82600
37463,0,1388000,1097400,80100,93400,85300
37464,0,1312500,1022400,85800,88000,89300
37465,0,903000,646900,88600,73200,79100
37466,0,1233000,984900,71600,84100,77300
37467,0,816800,534500,70700,112300,85300
37468,0,1067600,726200,80100,97500,141000
37469,0,1777400,1359200,184900,98800,88200
37470,0,966000,627100,84100,120900,80900
37471,0,982800,645600,89600,92800,105700
37472,0,898900,518000,130300,130900,87900
37473,0,762500,465800,94000,93700,79100
37474,0,1779700,1303400,254900,88400,78600
37475,0,1126400,817700,86700,99700,92700
37476,0,1277200,852300,148800,86500,104300
37477,0,1514700,1109600,139000,129000,84400
37478,0,821600,494400,80000,105300,78900
37479,0,1770800,1427500,100700,99500,93200
37480,0,1150800,870900,85000,90500,85600
37481,0,1279600,892800,182600,93600,91100
37482,0,1903500,1480200,165400,83100,93000
37483,0,1396100,924900,165900,173400,90900
37484,0,1657000,1332600,94800,98900,87200
37485,0,1955100,1598600,89600,96800,92600
37486,0,1407300,1104900,85300,90200,79100
37487,0,1302700,1026800,88100,91700,76500
37488,0,1411200,1029200,133000,75400,151900
37489,0,1218100,866100,134600,94900,86300
37490,0,2036500,1617800,153700,114000,95400
37491,0,1330700,921100,168700,95800,79400
37492,0,1864200,1484200,152700,98200,94200
37493,0,1817800,1377300,172200,103800,135500
37494,0,1323600,975400,95400,128600,94400
37495,0,2018400,1668300,130800,85600,99100
37496,0,1236800,913100,108600,100500,93500
