tick,run,wholeUpdate,entityUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate
2679,1,1505000,1035700,187500,120900,115000
2680,1,1508700,1026700,178000,140100,135300
2681,1,1692300,1227200,123800,134500,161700
2682,1,1383400,941900,177000,107400,126500
2683,1,1567400,1133600,121600,144600,122200
2684,1,1682900,1218800,124300,107900,192200
2685,1,1450100,954200,160300,141600,151100
2686,1,1579700,1113700,129900,138000,120900
2687,1,1389800,978100,113700,142600,112900
2688,1,1567600,1091200,213300,103100,120400
2689,1,1517600,1100900,114500,120300,149700
2690,1,1475300,1059200,141200,114700,118900
2691,1,1644500,1033600,293100,112900,125300
2692,1,1554600,1119600,153100,123700,117100
2693,1,1729300,1279000,183300,110800,117400
2694,1,1638000,1143800,120600,142000,156100
2695,1,1788800,1277900,129500,122800,121600
2696,1,1657300,1239100,131300,106600,113600
2697,1,1725000,1237700,168200,137000,152300
2698,1,1871700,1368700,182100,104300,126600
2699,1,1591000,1215000,95200,118900,120200
2700,1,1450800,965300,229100,115000,119000
2701,1,1694900,1282200,118300,115400,157600
2702,1,1669900,1202400,185500,119000,139900
2703,1,2235700,1745300,136100,115300,146800
2704,1,1590300,1126700,182500,128100,127400
2705,1,1610400,1210400,132900,104300,131600
2706,1,1703900,1226900,128000,119300,155700
2707,1,2133400,1597000,243400,120100,145500
2708,1,1687700,1206400,137100,185400,131100
2709,1,1636700,1195900,151900,142800,119100
2710,1,1358100,901400,145900,128100,124100
2711,1,1486000,1027300,157700,120500,148400
2712,1,1410000,1043100,117800,107400,117400
2713,1,1315300,913100,146000,114400,120600
2714,1,1307000,849600,173600,136500,122500
2715,1,1381300,977700,122300,127000,120600
2716,1,1255200,842000,134400,123000,117600
2717,1,1446100,931400,168700,139600,166200
2718,1,1408900,956400,150100,110400,125200
2719,1,1671200,1261400,135500,114300,116400
2720,1,1350300,962200,135100,112700,111400
2721,1,1353900,880000,184000,114700,116800
2722,1,1672700,1210800,139500,119700,145200
2723,1,1502800,1075600,128500,130500,151400
2724,1,1401700,1007900,143000,116500,117800
2725,1,1621400,1144500,139600,194100,122700
2726,1,1537500,1081000,137500,136200,159200
2727,1,2113700,1681000,138300,124400,150600
2728,1,1365800,938200,126300,122200,157300
2729,1,1462600,1032000,121900,114400,161300
2730,1,1569400,1127400,137800,133500,122500
2731,1,1557900,1041200,226500,115900,116700
2732,1,1518800,1126500,121200,117200,116000
2733,1,1562600,1051600,228800,130000,116600
2734,1,1691600,1199900,206700,111500,113000
2735,1,2105200,1665600,163000,114900,125100
2736,1,1794900,1274800,157400,143900,123400
2737,1,1804900,1374400,135700,128500,119900
2738,1,1753400,1279500,119600,123100,161100
2739,1,2588100,1918300,276600,158200,161600
2740,1,1901000,1446900,138300,148200,117100
2741,1,1859300,1318000,208600,135600,143400
2742,1,2193800,1694600,138500,149800,159400
2743,1,2164300,1526800,296900,145600,148300
2744,1,1790300,1321700,129400,146900,140500
2745,1,1670700,1221000,151600,126300,117900
2746,1,1812700,1291900,151500,124600,166300
2747,1,2112500,1635300,127500,139600,156500
2748,1,1824500,1197700,133700,285500,162000
2749,1,1587300,1130900,172900,124000,123700
2750,1,1547000,1123800,122500,129200,124300
2751,1,1420700,959200,133800,121700,114700
2752,1,1428100,962800,175400,115100,122900
2753,1,1434100,964400,178700,110600,133900
2754,1,1654500,1231000,134600,124200,124200
2755,1,1491600,1073100,116100,106500,157500
2756,1,1471200,1038900,143700,127400,118100
2757,1,1488200,1049600,125100,107100,165000
2758,1,1747500,1238900,115800,124500,121400
2759,1,1641700,1148300,133800,180200,124000
2760,1,1465800,998000,188800,118800,125300
2761,1,1586800,1123700,187500,123900,117500
2762,1,1484800,1039100,128400,123400,163400
2763,1,1607900,1116100,210000,129700,117300
2764,1,1491100,1083900,133100,123400,119000
2765,1,1602900,1164600,167000,110400,121200
2766,1,1579300,1131900,133800,110800,119200
2767,1,1610000,1058300,215100,108500,124800
2768,1,1607000,1177300,119200,132800,150800
2769,1,1693900,1302500,130400,117300,109900
2770,1,1660100,1107200,172400,144500,154400
2771,1,1559500,1137600,105600,117400,148100
2772,1,1475500,1054500,140300,114800,121300
2773,1,1489100,971600,200800,122800,158500
2774,1,1546000,1118600,144700,111400,138400
2775,1,1662100,1179600,154500,152500,120100
2776,1,1524500,961200,273100,125000,126500
2777,1,1634700,1214800,135600,119300,113300
2778,1,1613600,1152100,161200,103900,116100
2779,1,1876100,1272200,253900,102300,151700
2780,1,2029700,1377200,152600,174200,144200
2781,1,1742400,1225800,140600,135100,123500
