tick,run,wholeUpdate,entityUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate
3387,0,2162900,1793400,57200,170800,110900
3388,0,1968900,1650500,37300,159000,103100
3389,0,2071000,1609800,64700,136000,222500
3390,0,2003700,1623400,76600,144700,115800
3391,0,1863900,1574000,24100,138400,86100
3392,0,1596900,1264000,78700,124500,96800
3393,0,1693700,1371300,60700,119300,104500
3394,0,1811700,1441900,58600,127500,110500
3395,0,1853100,1517500,57200,139200,107000
3396,0,1952800,1573600,87900,128200,100800
3397,0,1840700,1476400,75900,126200,131900
3398,0,1765400,1388200,60600,162400,106700
3399,0,2229500,1763300,89800,210000,118700
3400,0,1805300,1489900,58200,119500,117400
3401,0,1854000,1542700,59000,125600,101000
3402,0,1698000,1379600,69000,120500,105800
3403,0,1888100,1523300,91200,137900,109100
3404,0,1947400,1633300,25000,140700,120100
3405,0,2052700,1695900,79800,141400,109000
3406,0,1906300,1507500,77000,149500,112500
3407,0,1848700,1493600,56500,157400,118100
3408,0,2368000,1951000,88000,192200,107700
3409,0,2314200,1981400,34600,172000,97800
3410,0,2056600,1711600,29400,165200,115200
3411,0,2253200,1909300,28100,137200,113200
3412,0,2007500,1618600,68900,146400,133400
3413,0,2243900,1826300,53700,161800,106300
3414,0,2096600,1752000,36600,174200,106200
3415,0,2320900,1954100,54300,175200,113000
3416,0,2129600,1745800,50800,178000,125700
3417,0,2160700,1858000,20100,156800,94700
3418,0,2446400,2001100,86800,147300,123200
3419,0,2374000,1913300,93800,150500,129200
3420,0,2132300,1757500,62200,161700,112400
3421,0,2549500,2132100,67400,167300,134200
3422,0,2119600,1761900,67500,135900,118500
3423,0,2641700,2275300,40500,180300,106100
3424,0,2416000,2036000,50700,158600,120100
3425,0,2415200,1985600,77300,213100,99900
3426,0,2592300,2043900,36000,284200,153000
3427,0,2044200,1649900,63100,155900,134700
3428,0,2572800,2189000,78100,155400,118000
3429,0,2401600,2047900,49900,150200,106500
3430,0,2390800,1972400,25400,194100,106300
3431,0,2373600,2030600,47000,157500,101900
3432,0,2204000,1794000,68700,191600,116100
3433,0,2532900,1964500,45300,377700,109900
3434,0,1942900,1545600,69600,154200,138900
3435,0,2192400,1817800,21500,201800,102100
3436,0,2168100,1679400,152800,171300,114000
3437,0,2152600,1754400,58900,178800,106200
3438,0,1875600,1457300,61400,166800,116800
3439,0,1971500,1549400,75900,159500,109800
3440,0,1993800,1612800,53000,183800,107100
3441,0,2319800,1870300,75900,173900,104600
3442,0,1953000,1574000,24600,174100,112500
3443,0,2366800,2003500,23700,186600,128700
3444,0,2262600,1876400,64400,180700,115700
3445,0,2123600,1790000,30700,159200,110200
3446,0,2333000,1999400,32600,179700,98300
3447,0,1941900,1562900,79700,167600,112300
3448,0,2398700,2009200,67400,158100,134700
3449,0,2345000,1949100,54200,186700,109700
3450,0,1940800,1531600,81000,156300,110600
3451,0,2803900,2419900,23200,180800,114600
3452,0,2222100,1876200,29100,149400,118300
3453,0,2019800,1688800,25000,156600,93500
3454,0,2132900,1711000,99600,144900,105000
3455,0,1686500,1378200,36900,126700,114600
3456,0,2700700,2261600,65700,135600,167300
3457,0,1983200,1603700,70100,146300,125400
3458,0,2159100,1724700,74600,166400,113900
3459,0,2331100,1691800,213800,126100,121800
3460,0,2169900,1736800,39800,149100,123400
3461,0,1914700,1579400,58300,125300,124300
