tick,run,wholeUpdate,entityUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate
3083,0,1873700,1481000,180500,76300,111100
3084,0,3441400,2993200,241400,70300,113200
3085,0,1505500,1157700,109500,101200,112100
3086,0,1481200,1162400,110400,73900,108400
3087,0,684700,400400,87600,88400,90700
3088,0,731000,330900,111600,168200,96200
3089,0,755900,441900,93300,100400,83100
3090,0,2414100,2014900,92200,114000,125000
3091,0,798800,408200,113900,123000,106900
3092,0,825300,464700,103400,95700,108800
3093,0,588000,223300,92400,84900,85900
3094,0,717900,359800,80200,99600,106100
3095,0,2234600,1870800,112500,80100,128100
3096,0,993100,494400,90900,247100,98100
3097,0,579600,278600,74700,83800,95300
3098,0,832500,444100,91800,94400,141400
3099,0,462700,164800,85000,76300,83000
3100,0,2326500,2023900,101900,83900,84200
3101,0,594500,274800,107800,76700,96200
3102,0,653600,379400,75600,72600,92700
3103,0,637800,358500,80000,72800,100000
3104,0,747900,343700,179900,85500,101800
3105,0,2065300,1732300,87100,94200,112400
3106,0,749500,394800,88800,97000,97600
3107,0,891800,590300,92400,68100,106900
3108,0,630700,330200,87000,79800,101300
3109,0,512700,211100,85600,73500,92600
3110,0,646600,326900,87700,82300,99600
3111,0,1862200,1562900,74100,65700,77900
3112,0,646000,331600,84400,81300,94000
3113,0,867000,186100,458400,77600,99400
3114,0,1182300,838700,90300,116900,92300
3115,0,599900,281500,85600,50700,143000
3116,0,2606900,2162800,181900,89200,123800
3117,0,718200,365200,92600,70300,146000
3118,0,1601500,1182900,84500,75500,94200
3119,0,1138900,767300,95500,76300,105900
3120,0,1280800,960500,77100,120300,94400
3121,0,2374800,2054000,107500,76000,114600
3122,0,1040200,750700,86500,83500,102400
3123,0,537500,285100,72600,80500,82200
3124,0,599100,337400,75700,83400,85100
3125,0,509900,238700,86500,69200,88100
3126,0,714500,421200,88800,72800,84100
3127,0,1929600,1626500,104500,73800,101200
3128,0,673600,355900,91400,105200,101000
3129,0,512700,200700,89400,110000,92800
3130,0,647800,310700,97100,85400,99400
3131,0,452300,163300,84400,90100,94300
3132,0,2277100,1975500,83800,81800,114600
3133,0,565500,241500,94000,108000,104300
3134,0,588200,307000,84200,76300,100800
3135,0,446000,163800,77100,92500,91700
3136,0,544000,272000,82400,70000,95400
3137,0,1912600,1598500,89500,101300,94100
3138,0,930900,485400,86400,211100,97700
3139,0,629500,285900,74200,101900,77700
3140,0,615000,333500,92600,65300,90500
3141,0,556300,181300,88000,88500,142600
3142,0,558700,256700,86100,74600,90600
3143,0,1807900,1536500,76400,93100,81400
3144,0,606700,329100,86800,76900,90800
3145,0,417000,161700,82600,75200,82400
3146,0,522400,254600,76100,75600,96200
3147,0,540800,151200,199900,78200,94900
3148,0,1980500,1680200,104600,86900,86000
3149,0,492300,192500,89000,80400,97500
3150,0,566500,270200,89900,73600,96700
3151,0,419000,156300,72800,69100,80000
3152,0,586800,267800,122200,72000,96800
3153,0,1810700,1533900,87100,66100,96800
3154,0,589200,270500,95800,69900,102100
3155,0,743600,183200,369200,67400,101800
3156,0,973000,696600,65700,64500,96400
3157,0,707900,320000,111500,84200,99800
3158,0,698200,359100,117600,76500,99400
3159,0,1949500,1654500,83800,75100,96600
3160,0,1595500,1268400,96500,77400,122400
3161,0,1939900,780800,918500,96500,107500
3162,0,3881200,3545800,100600,77700,112900
3163,0,2532100,2077300,160900,109200,130400
3164,0,4062100,3694300,101900,87300,125100
3165,0,2154300,1742400,109000,84200,157600
3166,0,2570500,2147400,119600,90300,119800
3167,0,1337900,976300,111000,76700,140700
3168,0,2249800,1723500,228900,158400,103900
3169,0,3135200,2780200,96600,104700,111500
3170,0,2921100,2402400,250600,102800,111000
3171,0,1396800,1031000,94500,83300,88700
3172,0,1744700,1244100,114000,223400,108900
3173,0,676900,272800,102200,153600,106500
3174,0,879400,579800,73100,83800,103300
3175,0,2515900,2141200,104500,111100,123200
3176,0,2631100,2269800,111100,127800,88200
3177,0,838000,457600,113000,115800,109300
3178,0,1057200,545300,166800,103800,113200
3179,0,650300,286600,71300,123300,89100
3180,0,2775500,2420200,86900,82000,151800
3181,0,1080000,665900,169400,118300,96300
3182,0,756600,462400,88600,85000,89200
3183,0,678200,367200,90200,103900,86000
3184,0,963600,464100,89900,79500,292900
3185,0,2188500,1827100,94400,131700,82500
3186,0,835600,447900,92900,79500,100800
3187,0,809600,508000,86900,78500,95900
3188,0,707400,393100,91700,77400,106500
3189,0,522700,168900,111000,92200,106900
3190,0,2301400,1941800,110000,66600,101100
3191,0,458100,161000,83000,87300,83700
3192,0,705300,396800,92800,65100,102600
3193,0,512500,166500,92000,95000,117400
3194,0,727600,401200,95300,77400,100500
3195,0,496300,180100,82400,93700,84900
3196,0,2383200,2048500,81300,64900,142400
3197,0,510900,194800,83000,81800,93200
3198,0,1008800,312900,458100,63400,95400
3199,0,1184200,832700,83000,95300,94900
3200,0,911700,645000,84900,63600,80300
3201,0,2418300,2043400,145700,85600,81100
3202,0,850700,445100,93900,129600,100600
3203,0,1633400,1186200,98400,102700,102900
3204,0,1480300,1126500,87700,86100,98000
3205,0,1147700,799200,131500,88300,104000
3206,0,2712000,2412000,116500,72300,87300
3207,0,840100,573300,83000,75700,85700
3208,0,704500,419800,92900,78500,94300
3209,0,546700,246300,82500,76100,96200
3210,0,659200,384400,80000,62300,81900
3211,0,611300,303400,103700,76900,80100
3212,0,2165800,1855500,99000,71000,97100
3213,0,547400,239000,90900,85100,92500
3214,0,1000400,509900,114600,207000,96300
3215,0,589600,240100,94000,107300,115500
3216,0,781300,378200,78400,168100,89500
3217,0,1915800,1646100,85900,68500,80500
3218,0,687800,343600,92900,105700,94400
3219,0,452800,160300,73000,78900,93600
3220,0,553100,274800,87700,93200,83200
3221,0,487400,166700,82100,74900,83600
3222,0,2019000,1736500,79500,104100,79900
3223,0,467700,164000,81400,80500,122800
3224,0,980500,508200,95600,255100,98400
3225,0,502500,219300,86100,76700,97100
3226,0,650400,346300,75700,96600,87400
3227,0,771800,510400,84800,72400,88800
3228,0,2020200,1727300,87100,84500,105400
3229,0,645700,331300,89700,82100,117400
3230,0,559500,268000,77700,89700,94600
3231,0,496100,173700,94600,80200,93800
3232,0,569800,311400,70500,66500,92300
3233,0,1921300,1608900,97000,81800,102500
3234,0,601400,305900,81100,86200,97400
3235,0,434600,159500,73800,89200,91400
3236,0,533900,259600,84900,72600,97100
3237,0,422200,152200,72000,78100,81900
3238,0,2016200,1689100,74600,65200,108100
3239,0,540300,197800,86500,82100,112600
3240,0,892400,303700,380300,75400,100800
3241,0,995400,684700,75100,79000,124100
3242,0,741300,439500,86200,80300,102200
3243,0,721700,380900,148200,74400,89900
3244,0,2109600,1781800,96700,96900,101600
3245,0,1247200,930500,94000,93800,91900
3246,0,1852600,874100,737500,88100,86100
3247,0,3854400,3448600,124100,74400,159400
3248,0,2775600,2429100,96000,98700,102000
3249,0,3779100,3393200,124000,77900,138700
3250,0,2321400,1924100,115400,93400,92200
3251,0,2871200,2515900,97400,95100,118300
3252,0,1790200,1480100,90100,73100,111300
3253,0,2130300,1683900,178300,84900,153700
3254,0,3754600,3398000,95400,95500,117400
3255,0,2288100,1924600,100900,97100,115800
3256,0,2082200,1743100,85200,83500,105700
3257,0,1067200,588200,111700,180100,134600
3258,0,840700,385300,106600,139400,108200
3259,0,2443000,2047700,97400,79700,123300
3260,0,1048900,630900,136900,119700,107800
3261,0,1302600,852100,99700,151500,110300
3262,0,809000,358000,151700,104300,106100
3263,0,501000,204600,106400,71800,83500
3264,0,929500,580600,104900,101900,107900
3265,0,2474800,2121200,120600,97000,108800
3266,0,1449000,990100,88400,237900,104500
3267,0,670500,382300,93600,79400,88800
3268,0,732000,442200,83400,101600,80200
3269,0,481100,212900,71200,74200,90700
3270,0,2247300,1874700,86200,97800,141500
3271,0,757300,349200,107700,119200,118700
3272,0,1057500,719000,88800,114100,89000
3273,0,550100,280200,82800,67700,85500
3274,0,707100,319600,145800,78000,96800
3275,0,2320800,1992300,112300,68200,117800
3276,0,808500,428400,97900,92600,107600
3277,0,931500,634700,83200,71700,103000
3278,0,616900,314100,83800,78500,92200
3279,0,681900,326500,110500,67800,106900
3280,0,690800,342600,111000,108900,88800
3281,0,1935300,1657600,88300,75100,81100
3282,0,949800,641600,95500,79200,98400
3283,0,854500,197400,453100,85600,94400
3284,0,1126300,835300,86000,85600,95900
3285,0,594700,282500,86400,47800,92400
3286,0,2234400,1835600,140000,103000,87900
3287,0,718600,389600,109100,79500,85300
3288,0,1996200,1604600,82000,83700,79100
3289,0,1433700,1042400,113200,83000,94800
3290,0,1287900,985200,89400,78800,85200
3291,0,2427100,2072100,95400,75600,108400
3292,0,1127600,754600,120900,96000,111100
3293,0,1077500,762300,107900,84100,79300
3294,0,721000,453800,79600,67100,83000
3295,0,569600,269400,83500,101600,84700
3296,0,1925200,1601600,102400,80400,105900
3297,0,2326600,2028300,87600,76400,95500
3298,0,1137600,733900,105300,92300,98600
3299,0,654100,317800,107100,82100,85500
3300,0,671100,307200,108400,95700,82800
3301,0,527600,215200,84300,112700,88200
3302,0,2167500,1884800,87100,86100,83800
3303,0,510200,216100,87000,85300,94300
3304,0,1086500,742400,100900,128800,81100
3305,0,564500,241200,90400,104600,90900
3306,0,689800,372400,79700,75100,102800
3307,0,2363400,2031700,97400,101400,83900
3308,0,987800,570400,78500,210600,95900
3309,0,922100,602300,95300,104600,86600
3310,0,763400,397700,94900,92900,104100
3311,0,526500,233100,78000,95900,83400
3312,0,965600,694800,85800,71500,80000
3313,0,2355400,2033400,96300,90700,109600
3314,0,1224500,882600,99800,89500,118800
3315,0,564100,254500,99800,93300,79800
