tick,run,wholeUpdate,entityUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate
2150,0,1940000,1661800,91400,68100,84000
2151,0,1564500,1254400,96000,62400,86800
2152,0,1516900,1185500,95700,64500,132000
2153,0,978100,630100,113100,103100,89700
2154,0,1333900,1070900,89900,60300,84100
2155,0,2429600,2160300,95500,59800,89900
2156,0,707200,442200,86900,65800,82800
2157,0,604600,345100,79400,68800,87700
2158,0,699300,393000,85900,53200,78600
2159,0,521200,233300,98500,70500,84200
2160,0,570100,327700,80600,55000,81900
2161,0,2481000,2194400,87700,77300,90400
2162,0,567900,294400,107700,61800,82200
2163,0,1227500,353100,676600,78300,83000
2164,0,3754300,3480300,105500,53400,89000
2165,0,2737100,2409500,125900,68100,94000
2166,0,2408600,2055100,91100,72700,123700
2167,0,4296700,3993700,108400,65700,96900
2168,0,2902600,2609100,106000,60100,94100
2169,0,2394200,2070100,100400,84800,105000
2170,0,2350600,1963600,164800,62900,98200
2171,0,2339400,2031900,95100,81300,85200
2172,0,1667600,1383000,100600,64200,85700
2173,0,3076100,2756400,93600,97100,95300
2174,0,1641700,1324900,109100,75600,98800
2175,0,893400,553500,108700,98500,93000
2176,0,966200,619200,96500,105900,92000
2177,0,716500,431000,85000,77000,82900
2178,0,714600,415200,79200,56400,86500
2179,0,2491400,2174600,99100,77900,96000
2180,0,593900,327000,90500,49500,94500
2181,0,588600,284300,88000,60300,99500
2182,0,589200,304900,95800,46400,91700
2183,0,523500,243000,88500,70900,95500
2184,0,798000,365300,136400,63000,102200
2185,0,2824800,2434900,98900,85300,101600
2186,0,1416500,1113100,93300,68400,91000
2187,0,591500,265200,95700,97700,100400
2188,0,653600,393300,84200,74300,85200
2189,0,468100,209000,95400,55700,86300
2190,0,574000,322900,83200,53300,84700
2191,0,2139400,1873200,91300,63200,85700
2192,0,648800,374900,94900,68100,82800
2193,0,965000,303800,487700,60900,87200
2194,0,1772300,1511100,95200,48400,77600
2195,0,623600,346600,101400,68700,85600
2196,0,720800,383800,146300,61400,87800
2197,0,2634700,2287900,146200,72900,109100
2198,0,2143100,1800800,109300,79300,92800
2199,0,1541700,1241000,102200,73100,96000
2200,0,3067800,2806500,92600,60800,89200
2201,0,856100,597100,93100,64500,82000
2202,0,1382100,1102000,105200,59800,94000
2203,0,2539800,2263000,99300,73900,84400
2204,0,661800,401300,98700,56300,84900
2205,0,718600,423400,94800,84200,87400
2206,0,729900,456600,81100,55400,84000
2207,0,493800,232000,75300,69800,101700
2208,0,568400,329300,80100,56700,85200
2209,0,2304600,2010800,97800,70500,102800
2210,0,628100,329200,95900,73400,88500
2211,0,617500,301200,89500,80100,86000
2212,0,593300,343300,76200,51900,90800
2213,0,499200,223100,93600,67500,86500
2214,0,609100,367100,81900,51300,85600
2215,0,2392700,2119100,86100,64000,103800
2216,0,712600,424900,104300,52300,102800
2217,0,558700,277000,107400,67500,89900
2218,0,641800,344500,77900,65300,83000
2219,0,497100,246900,77300,63300,81800
2220,0,657300,334800,100400,115500,87600
2221,0,2497700,2207200,96400,79000,89500
2222,0,681000,364100,133800,69200,96400
2223,0,612900,309800,100600,88700,95000
2224,0,605300,368700,74400,54000,89500
2225,0,549200,240700,83200,112800,86300
2226,0,564600,295500,83000,56300,86500
2227,0,2392100,2108700,86400,75700,103000
2228,0,723600,355800,139300,81500,119800
2229,0,546100,260500,86000,74100,87700
2230,0,576600,287100,84300,61800,86300
2231,0,465200,206800,79100,60600,88300
2232,0,527400,283800,74800,50000,86100
2233,0,2187200,1892700,102100,63900,99800
2234,0,687600,395700,89800,68700,102900
2235,0,592600,301300,93900,75300,90000
2236,0,572900,320200,79400,54600,83600
2237,0,521000,262700,83900,58200,83800
2238,0,598900,320700,80600,57900,86800
2239,0,2468200,2201300,75900,67400,92400
2240,0,551900,288800,91800,47500,94300
2241,0,928700,265700,461100,59200,86700
2242,0,1218900,953000,73900,49300,89100
2243,0,640500,366700,91300,70300,93700
2244,0,676900,393300,130800,48800,90400
2245,0,2375100,2056400,99900,77900,121400
2246,0,1898800,1607100,95900,76300,90900
2247,0,1400200,1140800,76700,87000,77300
2248,0,1487200,1185500,79000,61700,75500
2249,0,817600,558500,89000,56900,84000
2250,0,1208200,912400,88500,61900,106200
2251,0,2834500,2537500,94800,65300,95800
2252,0,741900,468300,82200,56800,93100
2253,0,732100,442100,82900,74800,86800
2254,0,686700,407400,80600,55600,86700
2255,0,538700,259100,87800,73200,86400
2256,0,626600,341300,80300,64300,84600
2257,0,2302400,2011900,77700,67000,119600
2258,0,671300,283700,99700,125500,101300
2259,0,1237300,251600,771600,71600,111400
2260,0,3847300,3504000,139100,71400,102100
2261,0,2586400,2248000,138600,74300,83000
2262,0,2170000,1865300,105000,78200,80200
2263,0,3928200,3659700,99600,56500,81300
2264,0,2736600,2427600,97100,64600,107600
2265,0,2066600,1787800,85100,68400,88500
2266,0,2266400,1890200,146200,82000,89100
2267,0,2073600,1809800,87700,63500,89700
2268,0,1520200,1259700,88500,60700,86200
2269,0,3066600,2717300,110700,71500,89900
2270,0,1048400,672600,92900,68300,85100
2271,0,940800,596000,80300,75400,90200
2272,0,889700,606800,81300,48800,116700
2273,0,733800,417600,108000,86500,88300
2274,0,658500,397800,85900,54400,87800
2275,0,2646100,2345600,104800,71300,97600
2276,0,686700,380900,91400,93200,88400
2277,0,570400,305500,80300,68200,93800
2278,0,643700,325300,88300,67500,86200
2279,0,500200,223500,88200,74300,85300
2280,0,519500,285300,73700,58800,84400
2281,0,2750400,2483500,86000,63300,99400
2282,0,700500,419500,97600,75300,92200
2283,0,647300,396300,75000,78600,81700
2284,0,622000,356800,78700,62700,106700
2285,0,540700,252200,100500,74000,85400
2286,0,638100,352300,94100,64900,81000
2287,0,2276900,2017900,85800,63100,90300
2288,0,589100,342600,83900,59700,82800
2289,0,983400,356600,448500,68600,86400
2290,0,1153200,879100,87000,64900,81700
2291,0,1182100,916100,101100,67100,79600
2292,0,674600,382800,127400,65900,83600
2293,0,2313100,2011200,108100,88000,86100
